reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId,reviews_in_sents,sentence_count,reviews_in_words,word_count,ymd,time,label,vader_label,textblob_label,bert_score,bert_label,reviews_lemmatized
gp:AOqpTOHPSZUaZjQdiGaUXv1m5rVNoIdFrZJUEeHykRO4F9wVkObcb6wQ_FfwfZUzqNJ0P0-VzRSKYL-h7x0OJG0,Tom Ferguson,https://play-lh.googleusercontent.com/a-/AOh14GiiRxJFj6OWkIFM6CIyM0t0C7Uq3Snl2AUDIiFOyx0,Will not open on my Samsung S20fe.,1,0,7.4.1.113,2022-03-30 21:35:20,,,newest,de.apptiv.business.android.aldi_uk,['Will not open on my Samsung S20fe.'],1,"['will', 'not', 'open', 'on', 'my', 'samsung', 's20fe', '.']",7,2022-03-30,21:35:20,neg,neu,neu,1,neg,"['will', 'not', 'open', 'on', 'my', 'samsung', 's20fe', '.']"
gp:AOqpTOH_N-PUZZ17hWiKHERa4mFea1Ak91I1onTDPeTl1L5-zhg3SSa5Dnk0MWHLVg--BleFxE2Dhf1To4HdmcA,Nigel Perry,https://play-lh.googleusercontent.com/a/AATXAJyD_yetcCfJOBMCRUaZiz2uRugmuPwj8tJy-Wjh=mo,No longer able to read product reviews from the app. Clicking the review link just takes me back to the start of the special buys page.,1,6,7.4.1.113,2022-03-28 20:44:50,,,newest,de.apptiv.business.android.aldi_uk,"['No longer able to read product reviews from the app.', 'Clicking the review link just takes me back to the start of the special buys page.']",2,"['no', 'longer', 'able', 'to', 'read', 'product', 'reviews', 'from', 'the', 'app', '.', 'clicking', 'the', 'review', 'link', 'just', 'takes', 'me', 'back', 'to', 'the', 'start', 'of', 'the', 'special', 'buys', 'page', '.']",26,2022-03-28,20:44:50,neg,pos,pos,1,neg,"['no', 'longer', 'able', 'to', 'read', 'product', 'review', 'from', 'the', 'app', '.', 'click', 'the', 'review', 'link', 'just', 'take', 'me', 'back', 'to', 'the', 'start', 'of', 'the', 'special', 'buys', 'page', '.']"
gp:AOqpTOECINSO0ivgP_-F9TWmVeVI1LUCNPllWGxnK7mRPP_1iuuOHB17OO-p6GwzqlDcBQXtygjmOI8Z0GC5h0U,Martin Matthews,https://play-lh.googleusercontent.com/a/AATXAJxro6pEcP137JBPQmxBTPbe6p3vSDOKseg7ywc_=mo,Comes up with error messages not on line.,1,0,7.4.1.113,2022-03-27 08:02:34,,,newest,de.apptiv.business.android.aldi_uk,['Comes up with error messages not on line.'],1,"['comes', 'up', 'with', 'error', 'messages', 'not', 'on', 'line', '.']",8,2022-03-27,08:02:34,neg,neg,neu,1,neg,"['come', 'up', 'with', 'error', 'message', 'not', 'on', 'line', '.']"
gp:AOqpTOHZW3tlYFcwnxBluVTSIfBbkjHMiUNazt83yFxapH8WTW7IelaS5pIRy6NMT5XNTDmQS50s_MvFpd2jSbg,Michael Blakey,https://play-lh.googleusercontent.com/a/AATXAJx1yyJ7RjGdGYng00Dc59mkZZ5YLs_MQWs5fTzp=mo,No connection/internet I've had the same problem as a lot of other people leaving feedback since last year.,1,0,7.4.1.113,2022-03-26 19:17:09,,,newest,de.apptiv.business.android.aldi_uk,"[""No connection/internet I've had the same problem as a lot of other people leaving feedback since last year.""]",1,"['no', 'connection', '/', 'internet', ""i've"", 'had', 'the', 'same', 'problem', 'as', 'a', 'lot', 'of', 'other', 'people', 'leaving', 'feedback', 'since', 'last', 'year', '.']",19,2022-03-26,19:17:09,neg,neg,neg,1,neg,"['no', 'connection', '/', 'internet', ""i've"", 'have', 'the', 'same', 'problem', 'as', 'a', 'lot', 'of', 'other', 'people', 'leave', 'feedback', 'since', 'last', 'year', '.']"
gp:AOqpTOHlM2DZhaTCjwgWD78b4kZvh1wb-yoQDEytuzNdF8lCB0ANeXqUR8uf6vWByS8SNlZC0PFwnb5FT7M_iy4,Pat Oke,https://play-lh.googleusercontent.com/a-/AOh14GismcmoVTxxgjWn1fPFw-rhxs6U2NINuj1Jfl9IaMI,I have not received my order of Dobbie the house elf! Since 9th March. How do I phone you?,1,0,7.4.1.113,2022-03-26 15:00:09,,,newest,de.apptiv.business.android.aldi_uk,"['I have not received my order of Dobbie the house elf!', 'Since 9th March.', 'How do I phone you?']",3,"['i', 'have', 'not', 'received', 'my', 'order', 'of', 'dobbie', 'the', 'house', 'elf', '!', 'since', '9th', 'march', '.', 'how', 'do', 'i', 'phone', 'you', '?']",19,2022-03-26,15:00:09,neg,neu,neu,1,neg,"['i', 'have', 'not', 'receive', 'my', 'order', 'of', 'dobbie', 'the', 'house', 'elf', '!', 'since', '9th', 'march', '.', 'how', 'do', 'i', 'phone', 'you', '?']"
gp:AOqpTOH94dA-gbCrZBdb1E1OE25njyECIKOA8AS_DvCK9uvXs5i0Yhzh5x7ywC7DbclXaZAgbTfDuhC6VT95y-Q,julie round,https://play-lh.googleusercontent.com/a/AATXAJydmJPf5JyLWkB4XKOYDdCtprFr4Sf9JOpNcy_c=mo,App won't open tried everything still won't open.so a useless app.,1,0,7.4.1.113,2022-03-26 10:20:57,,,newest,de.apptiv.business.android.aldi_uk,"[""App won't open tried everything still won't open.so a useless app.""]",1,"['app', ""won't"", 'open', 'tried', 'everything', 'still', ""won't"", 'open.so', 'a', 'useless', 'app', '.']",11,2022-03-26,10:20:57,neg,pos,neg,1,neg,"['app', ""won't"", 'open', 'try', 'everything', 'still', ""won't"", 'open.so', 'a', 'useless', 'app', '.']"
gp:AOqpTOH44OLBYRkFcCx627RK8gjqQhO6OL2MvzXAbitubH5FqxHujS7fwXpkqI03cOmRdFgzYAWRkE9GZNS4fuY,Martin Murphy,https://play-lh.googleusercontent.com/a/AATXAJwFubLo1DFjU6h7stKWdj4r4G3bP6OWQsHvCf7x=mo,Can't install,1,0,7.4.1.113,2022-03-24 22:50:15,,,newest,de.apptiv.business.android.aldi_uk,"[""Can't install""]",1,"[""can't"", 'install']",2,2022-03-24,22:50:15,neg,neu,neu,1,neg,"[""can't"", 'install']"
gp:AOqpTOFYGZNRlt6IpibDY4FuKYecKsFOLz7ULWxcV0dJIop2ASrKNs3XJ8hoRJhHinKmnxrHmzQ4BqnGaJAGW2s,Mmuriel scott,https://play-lh.googleusercontent.com/a/AATXAJzwivy_ZXiUHYJG04eaXhvYuWm9kD87o1nN73Mq=mo,"I wouldn't put any stars but it's the only way to state a fact ,, no one can access this site , what's going on aldi no more to say only your loosing customers",1,0,7.4.1.113,2022-03-23 12:11:03,,,newest,de.apptiv.business.android.aldi_uk,"[""I wouldn't put any stars but it's the only way to state a fact ,, no one can access this site , what's going on aldi no more to say only your loosing customers""]",1,"['i', ""wouldn't"", 'put', 'any', 'stars', 'but', ""it's"", 'the', 'only', 'way', 'to', 'state', 'a', 'fact', ',', ',', 'no', 'one', 'can', 'access', 'this', 'site', ',', ""what's"", 'going', 'on', 'aldi', 'no', 'more', 'to', 'say', 'only', 'your', 'loosing', 'customers']",32,2022-03-23,12:11:03,neg,neg,neg,1,neg,"['i', ""wouldn't"", 'put', 'any', 'star', 'but', ""it's"", 'the', 'only', 'way', 'to', 'state', 'a', 'fact', ',', ',', 'no', 'one', 'can', 'access', 'this', 'site', ',', ""what's"", 'go', 'on', 'aldi', 'no', 'more', 'to', 'say', 'only', 'your', 'loosing', 'customer']"
gp:AOqpTOGiW4KPrG9-E_g9m3tdEVw0edDDIAOkxgIgBnYVKWAp-HMin25UHgfb5_l_O26UcvJqP6wxRW6BaTqEM7M,Aqib Iqbal,https://play-lh.googleusercontent.com/a/AATXAJydVzMNuCnenOA-yYWe587L6y0zEY_O9c4_oium=mo,Doesnt work,1,0,7.4.1.113,2022-03-21 11:28:41,,,newest,de.apptiv.business.android.aldi_uk,['Doesnt work'],1,"['doesnt', 'work']",2,2022-03-21,11:28:41,neg,neu,neu,1,neg,"['doesnt', 'work']"
gp:AOqpTOFaXpBizmGTA--Qd8CkrL_MQJ2fKmUF_vep6iddZMvRYkOlLDEmYzdo89-sl1UHjkj6PFTDnJ1IgqTN0WE,Richard Chamberlain,https://play-lh.googleusercontent.com/a/AATXAJw0umtMdEQOquXOViiiCADaDcVR--Tzsf4aLCeB=mo,"Despite uninstalling and reinstalling several times, the app tells me that either I am offline, or the app is unavailable. Looking at other reviews saying the same or similar, there seems to be no response from customer service relating to this issue. A waste of space and time to me.",1,5,7.4.1.113,2022-03-21 09:09:49,,,newest,de.apptiv.business.android.aldi_uk,"['Despite uninstalling and reinstalling several times, the app tells me that either I am offline, or the app is unavailable.', 'Looking at other reviews saying the same or similar, there seems to be no response from customer service relating to this issue.', 'A waste of space and time to me.']",3,"['despite', 'uninstalling', 'and', 'reinstalling', 'several', 'times', ',', 'the', 'app', 'tells', 'me', 'that', 'either', 'i', 'am', 'offline', ',', 'or', 'the', 'app', 'is', 'unavailable', '.', 'looking', 'at', 'other', 'reviews', 'saying', 'the', 'same', 'or', 'similar', ',', 'there', 'seems', 'to', 'be', 'no', 'response', 'from', 'customer', 'service', 'relating', 'to', 'this', 'issue', '.', 'a', 'waste', 'of', 'space', 'and', 'time', 'to', 'me', '.']",50,2022-03-21,09:09:49,neg,neg,neg,1,neg,"['despite', 'uninstalling', 'and', 'reinstall', 'several', 'time', ',', 'the', 'app', 'tell', 'me', 'that', 'either', 'i', 'be', 'offline', ',', 'or', 'the', 'app', 'be', 'unavailable', '.', 'look', 'at', 'other', 'review', 'say', 'the', 'same', 'or', 'similar', ',', 'there', 'seem', 'to', 'be', 'no', 'response', 'from', 'customer', 'service', 'relate', 'to', 'this', 'issue', '.', 'a', 'waste', 'of', 'space', 'and', 'time', 'to', 'me', '.']"
