reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId,reviews_in_sents,sentence_count,reviews_in_words,word_count,ymd,time,label,vader_label,textblob_label,bert_score,bert_label,reviews_lemmatized,year,month,day
gp:AOqpTOGXnPJF2ayNC0qADT3CPOTAiJh3DlQVCKDI7Ht0Ag4UBrHXHe-TGYozO160rK3FRj-QRH9SHlIipXYGFA,Lynne Pyle,https://play-lh.googleusercontent.com/a/AATXAJyRMo_Nz42z3QSYjSo1XmUyL6oty3kQpq2RSw-7=mo,Constantly have problems with payments being accepted and their customer service team need retraining as they never help,1,0,22.04,2022-03-31 07:42:37,,,newest,com.asda.android,['Constantly have problems with payments being accepted and their customer service team need retraining as they never help'],1,"['constantly', 'have', 'problems', 'with', 'payments', 'being', 'accepted', 'and', 'their', 'customer', 'service', 'team', 'need', 'retraining', 'as', 'they', 'never', 'help']",18,2022-03-31,07:42:37,neg,neg,neu,2,neg,"['constantly', 'have', 'problem', 'with', 'payment', 'be', 'accept', 'and', 'their', 'customer', 'service', 'team', 'need', 'retrain', 'as', 'they', 'never', 'help']",2022,3,31
gp:AOqpTOHrwp13SVcQS6NYUlKr98Zv8bFIWDhlf16UoEJ6VIAr2KcJfTtFht1pt7O9NLHlFcA79NEk2UUVuQwChA,Anf Sturgess,https://play-lh.googleusercontent.com/a/AATXAJwFUir4UK8sX36omufFKTngecD9JZstdiBYAG8i=mo,Will always be 1 star because I hate being forced to update an app to be able to continue using it.,1,1,21.20.03,2022-03-31 01:37:16,,,newest,com.asda.android,['Will always be 1 star because I hate being forced to update an app to be able to continue using it.'],1,"['will', 'always', 'be', '1', 'star', 'because', 'i', 'hate', 'being', 'forced', 'to', 'update', 'an', 'app', 'to', 'be', 'able', 'to', 'continue', 'using', 'it', '.']",20,2022-03-31,01:37:16,neg,neg,neg,1,neg,"['will', 'always', 'be', '1', 'star', 'because', 'i', 'hate', 'be', 'force', 'to', 'update', 'an', 'app', 'to', 'be', 'able', 'to', 'continue', 'use', 'it', '.']",2022,3,31
gp:AOqpTOFnrZ3yHxgVfu5x5B8GGtHLQMzBD-luEyWp4rCTwI_03X0U2_GJp-Pc9J7bg18lA59dt7stRKb1PXYm9w,Jacqueline Gaff,https://play-lh.googleusercontent.com/a/AATXAJzsBerE-TtOVEjqIedzJKwY14DQsCR5Z6OR434O=mo,Takes ages to update,1,0,22.04,2022-03-30 21:43:24,,,newest,com.asda.android,['Takes ages to update'],1,"['takes', 'ages', 'to', 'update']",4,2022-03-30,21:43:24,neg,neu,neu,3,neu,"['take', 'age', 'to', 'update']",2022,3,30
gp:AOqpTOE4iM0TScvmd9qXCktRP-_wnZHo1unsmC604Uy7Zp7zPUshquWcL7WFd9uk9ZM4Lwf_mQLD4Tsp5IxYCQ,Dawid K,https://play-lh.googleusercontent.com/a/AATXAJwpW9YBfLUoUtLrEz2ux1HywN753P2bIxG75r_I=mo,"Constant updates required, it's absolutely unbelievable but each time I open this app it asks me to update to proceed. Can you fix all the bugs and leave this app alone for a few months ? Arghhhhh",1,0,21.20.03,2022-03-30 19:42:55,,,newest,com.asda.android,"[""Constant updates required, it's absolutely unbelievable but each time I open this app it asks me to update to proceed."", 'Can you fix all the bugs and leave this app alone for a few months ?', 'Arghhhhh']",3,"['constant', 'updates', 'required', ',', ""it's"", 'absolutely', 'unbelievable', 'but', 'each', 'time', 'i', 'open', 'this', 'app', 'it', 'asks', 'me', 'to', 'update', 'to', 'proceed', '.', 'can', 'you', 'fix', 'all', 'the', 'bugs', 'and', 'leave', 'this', 'app', 'alone', 'for', 'a', 'few', 'months', '?', 'arghhhhh']",36,2022-03-30,19:42:55,neg,neg,neg,1,neg,"['constant', 'update', 'require', ',', ""it's"", 'absolutely', 'unbelievable', 'but', 'each', 'time', 'i', 'open', 'this', 'app', 'it', 'ask', 'me', 'to', 'update', 'to', 'proceed', '.', 'can', 'you', 'fix', 'all', 'the', 'bug', 'and', 'leave', 'this', 'app', 'alone', 'for', 'a', 'few', 'month', '?', 'arghhhhh']",2022,3,30
gp:AOqpTOEpTPhqeBRsgChdXva68epNOONaHbwvG70gJgMnMzm5LUmS6zAeWiXuo-pykRGHaSF_bTQrxOg7HiO8bA,Tracy Pryce,https://play-lh.googleusercontent.com/a-/AOh14GiDlZtghcxmxma26-Xyw-xzkTIDwRA0SU1VKAYlkQ,"Absolutely terrible, been using this app for a while and it's always been good but in the last few months it's been awful. Some Items are not substituted, so instead you just receive half your shopping if its not in stock.. AVOID",1,0,22.03,2022-03-30 17:34:26,,,newest,com.asda.android,"[""Absolutely terrible, been using this app for a while and it's always been good but in the last few months it's been awful."", 'Some Items are not substituted, so instead you just receive half your shopping if its not in stock.. AVOID']",2,"['absolutely', 'terrible', ',', 'been', 'using', 'this', 'app', 'for', 'a', 'while', 'and', ""it's"", 'always', 'been', 'good', 'but', 'in', 'the', 'last', 'few', 'months', ""it's"", 'been', 'awful', '.', 'some', 'items', 'are', 'not', 'substituted', ',', 'so', 'instead', 'you', 'just', 'receive', 'half', 'your', 'shopping', 'if', 'its', 'not', 'in', 'stock', '..', 'avoid']",43,2022-03-30,17:34:26,neg,neg,neg,1,neg,"['absolutely', 'terrible', ',', 'be', 'use', 'this', 'app', 'for', 'a', 'while', 'and', ""it's"", 'always', 'be', 'good', 'but', 'in', 'the', 'last', 'few', 'month', ""it's"", 'be', 'awful', '.', 'some', 'item', 'be', 'not', 'substitute', ',', 'so', 'instead', 'you', 'just', 'receive', 'half', 'your', 'shopping', 'if', 'its', 'not', 'in', 'stock', '..', 'avoid']",2022,3,30
gp:AOqpTOGq-duT9JBh1Yc7d9OwLjjXXgZla1amAoqZi7GtSGsT9UE7NAlviEyueXW5bBtSEme8SQSaD6ue3nUCxg,Joanne McCord,https://play-lh.googleusercontent.com/a/AATXAJxCp4yctRgcDL9-84KB-g80DCHJ1iCXHzcgaBbh=mo,You update way too often way too often,1,1,22.04,2022-03-30 16:35:03,,,newest,com.asda.android,['You update way too often way too often'],1,"['you', 'update', 'way', 'too', 'often', 'way', 'too', 'often']",8,2022-03-30,16:35:03,neg,neu,neu,2,neg,"['you', 'update', 'way', 'too', 'often', 'way', 'too', 'often']",2022,3,30
gp:AOqpTOFQCPxWBuwIFJmiOfGgSyjdcZrVgFR9TTw96Dju8qtaO9oHatuky6UsrTU_6QaavYJOXmTRfUvPgAD-Og,Meya D,https://play-lh.googleusercontent.com/a-/AOh14GhP-evOOa7azZWgh7_vHB3Guxq8kfIZ37ONKgbi,"Update :Uninstalling can't update due to lack of space, going to use Tesco. They should all be like this, easy to use and convenient",1,0,22.04,2022-03-30 14:28:46,,,newest,com.asda.android,"[""Update :Uninstalling can't update due to lack of space, going to use Tesco."", 'They should all be like this, easy to use and convenient']",2,"['update', ':', 'uninstalling', ""can't"", 'update', 'due', 'to', 'lack', 'of', 'space', ',', 'going', 'to', 'use', 'tesco', '.', 'they', 'should', 'all', 'be', 'like', 'this', ',', 'easy', 'to', 'use', 'and', 'convenient']",24,2022-03-30,14:28:46,neg,pos,pos,4,pos,"['update', ':', 'uninstalling', ""can't"", 'update', 'due', 'to', 'lack', 'of', 'space', ',', 'go', 'to', 'use', 'tesco', '.', 'they', 'should', 'all', 'be', 'like', 'this', ',', 'easy', 'to', 'use', 'and', 'convenient']",2022,3,30
gp:AOqpTOE20oyyiR1M1XUIMYClDBvamgcUbkIb-UGfUYh2YcXo4UjaixHkcetUibuI7G-SrCmCr5OrTx4fCyqxQg,Marco Marco,https://play-lh.googleusercontent.com/a/AATXAJyvi9T_QJZ4Vauo5Z4t69_F9MA5_p9RxKSw8Y48=mo,As soon as i updated this app it stopped me from looking at feedback for products other shoppers had bought so i could see if product is any good. I also noticed Asda has removed a few cheaper alternatives permanently with only the more expensive options left to choose from. I will just shop elsewhere for those products from now on.,1,0,22.03,2022-03-30 09:57:03,,,newest,com.asda.android,"['As soon as i updated this app it stopped me from looking at feedback for products other shoppers had bought so i could see if product is any good.', 'I also noticed Asda has removed a few cheaper alternatives permanently with only the more expensive options left to choose from.', 'I will just shop elsewhere for those products from now on.']",3,"['as', 'soon', 'as', 'i', 'updated', 'this', 'app', 'it', 'stopped', 'me', 'from', 'looking', 'at', 'feedback', 'for', 'products', 'other', 'shoppers', 'had', 'bought', 'so', 'i', 'could', 'see', 'if', 'product', 'is', 'any', 'good', '.', 'i', 'also', 'noticed', 'asda', 'has', 'removed', 'a', 'few', 'cheaper', 'alternatives', 'permanently', 'with', 'only', 'the', 'more', 'expensive', 'options', 'left', 'to', 'choose', 'from', '.', 'i', 'will', 'just', 'shop', 'elsewhere', 'for', 'those', 'products', 'from', 'now', 'on', '.']",61,2022-03-30,09:57:03,neg,pos,pos,2,neg,"['as', 'soon', 'as', 'i', 'update', 'this', 'app', 'it', 'stop', 'me', 'from', 'look', 'at', 'feedback', 'for', 'product', 'other', 'shopper', 'have', 'buy', 'so', 'i', 'could', 'see', 'if', 'product', 'be', 'any', 'good', '.', 'i', 'also', 'notice', 'asda', 'have', 'remove', 'a', 'few', 'cheap', 'alternative', 'permanently', 'with', 'only', 'the', 'more', 'expensive', 'option', 'leave', 'to', 'choose', 'from', '.', 'i', 'will', 'just', 'shop', 'elsewhere', 'for', 'those', 'product', 'from', 'now', 'on', '.']",2022,3,30
gp:AOqpTOH7coy_GV8n6Eplp1UD3gEUF2gmMsQZV6RjXLY-DKRBiDZtXv0k3uu-zj5jv93BhGCN6jcuPUThhxu6Ng,Dominik V,https://play-lh.googleusercontent.com/a/AATXAJz0o6F38270u4JqGMlIlkJuHqfT8y5eKX50aCw4=mo,"Worst app I have ever used.. can't find items, you need to get through a maze of options that all sound the same while being bombarded with ads the entire time, just for the whole thing to fail after you finally get past all the security checkpoints.. it should be 0/5 absolutely horrible experience",1,0,22.05,2022-03-30 01:36:07,,,newest,com.asda.android,"[""Worst app I have ever used.. can't find items, you need to get through a maze of options that all sound the same while being bombarded with ads the entire time, just for the whole thing to fail after you finally get past all the security checkpoints.. it should be 0/5 absolutely horrible experience""]",1,"['worst', 'app', 'i', 'have', 'ever', 'used', '..', ""can't"", 'find', 'items', ',', 'you', 'need', 'to', 'get', 'through', 'a', 'maze', 'of', 'options', 'that', 'all', 'sound', 'the', 'same', 'while', 'being', 'bombarded', 'with', 'ads', 'the', 'entire', 'time', ',', 'just', 'for', 'the', 'whole', 'thing', 'to', 'fail', 'after', 'you', 'finally', 'get', 'past', 'all', 'the', 'security', 'checkpoints', '..', 'it', 'should', 'be', '0/5', 'absolutely', 'horrible', 'experience']",56,2022-03-30,01:36:07,neg,neg,neg,1,neg,"['bad', 'app', 'i', 'have', 'ever', 'use', '..', ""can't"", 'find', 'item', ',', 'you', 'need', 'to', 'get', 'through', 'a', 'maze', 'of', 'option', 'that', 'all', 'sound', 'the', 'same', 'while', 'be', 'bombard', 'with', 'ad', 'the', 'entire', 'time', ',', 'just', 'for', 'the', 'whole', 'thing', 'to', 'fail', 'after', 'you', 'finally', 'get', 'past', 'all', 'the', 'security', 'checkpoint', '..', 'it', 'should', 'be', '0/5', 'absolutely', 'horrible', 'experience']",2022,3,30
gp:AOqpTOGWHB_2PT5j2tgrsr55vfPgnfb6oI19cCGaZgrVqBUGGhT6EBbqctLBta4I4EUyNYI9tRri7ffjMvmnxQ,Louise Harrison,https://play-lh.googleusercontent.com/a/AATXAJynsO5gabisp_VI04-muVMz8QrKz2HNjmDaZRU6=mo,"Since beginning of March I have been unable to book a delivery slot or put anything in my basket. The consisitant advice has been to log out, log in, uninstall, reinstall, try a different device and finally the admission they have a technical hitch which they are trying to fix and why don't I log in later and try again...for 4 weeks????",1,0,21.18,2022-03-29 07:54:32,,,newest,com.asda.android,"['Since beginning of March I have been unable to book a delivery slot or put anything in my basket.', ""The consisitant advice has been to log out, log in, uninstall, reinstall, try a different device and finally the admission they have a technical hitch which they are trying to fix and why don't I log in later and try again...for 4 weeks???"", '?']",3,"['since', 'beginning', 'of', 'march', 'i', 'have', 'been', 'unable', 'to', 'book', 'a', 'delivery', 'slot', 'or', 'put', 'anything', 'in', 'my', 'basket', '.', 'the', 'consisitant', 'advice', 'has', 'been', 'to', 'log', 'out', ',', 'log', 'in', ',', 'uninstall', ',', 'reinstall', ',', 'try', 'a', 'different', 'device', 'and', 'finally', 'the', 'admission', 'they', 'have', 'a', 'technical', 'hitch', 'which', 'they', 'are', 'trying', 'to', 'fix', 'and', 'why', ""don't"", 'i', 'log', 'in', 'later', 'and', 'try', 'again', '...', 'for', '4', 'weeks', '?', '?', '?']",63,2022-03-29,07:54:32,neg,neu,neg,1,neg,"['since', 'beginning', 'of', 'march', 'i', 'have', 'be', 'unable', 'to', 'book', 'a', 'delivery', 'slot', 'or', 'put', 'anything', 'in', 'my', 'basket', '.', 'the', 'consisitant', 'advice', 'have', 'be', 'to', 'log', 'out', ',', 'log', 'in', ',', 'uninstall', ',', 'reinstall', ',', 'try', 'a', 'different', 'device', 'and', 'finally', 'the', 'admission', 'they', 'have', 'a', 'technical', 'hitch', 'which', 'they', 'be', 'try', 'to', 'fix', 'and', 'why', ""don't"", 'i', 'log', 'in', 'later', 'and', 'try', 'again', '...', 'for', '4', 'week', '?', '?', '?']",2022,3,29
