reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId,reviews_in_sents,sentence_count,reviews_in_words,word_count,ymd,time,label,vader_label,textblob_label,bert_score,bert_label,reviews_lemmatized,year,month,day
gp:AOqpTOHwiB5uDuLyKgDn9V_87EqZu3dBUqOJIR6UgRquBkp1ryRpwEZ00fHBtT9oqAkWevkFX08NzIhYBO70BA,Mick Juchnowicz,https://play-lh.googleusercontent.com/a-/AOh14GgsW3_OacGPNzXznarVbpDONWRf4_rwDVbZKrnZ,Could not create an account. No response from Sign Up option.,1,0,,2022-03-31 17:48:29,,,newest,com.marksandspencer.app,"['Could not create an account.', 'No response from Sign Up option.']",2,"['could', 'not', 'create', 'an', 'account', '.', 'no', 'response', 'from', 'sign', 'up', 'option', '.']",11,2022-03-31,17:48:29,neg,neg,neu,1,neg,"['could', 'not', 'create', 'an', 'account', '.', 'no', 'response', 'from', 'sign', 'up', 'option', '.']",2022,3,31
gp:AOqpTOFD_Kam8227qcALKxfupHFbeJSiNjNpF_5XCExqyBFaq5-jLQCHXdsGuBAMbYzrjfW9uFovMWakpexUmw,Jean Holling,https://play-lh.googleusercontent.com/a/AATXAJzoAs1lAtjpSdrn4PMYvRJSIKqj2RF3QFkaBlrK=mo,After update I can not see my offers its rubbis,1,0,7.0.37.2,2022-03-31 16:28:19,,,newest,com.marksandspencer.app,['After update I can not see my offers its rubbis'],1,"['after', 'update', 'i', 'can', 'not', 'see', 'my', 'offers', 'its', 'rubbis']",10,2022-03-31,16:28:19,neg,neu,pos,2,neg,"['after', 'update', 'i', 'can', 'not', 'see', 'my', 'offer', 'its', 'rubbis']",2022,3,31
gp:AOqpTOHVi54I64mWVmrTkdHOHmq13sEHL7g9iDjeoHh_D2eisyyU5yoThaZbd9ptJVNB4Rfy46_le-MtDXs5WA,Hayley Smith,https://play-lh.googleusercontent.com/a/AATXAJwJiRjst-0w3cPD7l6mqUxjYMnsUiVsSt4K85MQ=mo,Easy to use great app,1,0,,2022-03-31 15:57:50,,,newest,com.marksandspencer.app,['Easy to use great app'],1,"['easy', 'to', 'use', 'great', 'app']",5,2022-03-31,15:57:50,neg,pos,pos,5,pos,"['easy', 'to', 'use', 'great', 'app']",2022,3,31
gp:AOqpTOHsyqWVIc_5HxloW1F7MXSOqG69ZHEO2yCBzudzP72xoBQaQzbAlZFS4uOSw9t8sUARHPhAnUmV4plJuA,Judith Richards,https://play-lh.googleusercontent.com/a/AATXAJztUZplP5I1wj0Uwi1VKqzFgDStyPUn27tiCr9f=mo,Cannot display my Sparks offers on the app,1,0,7.0.37.2,2022-03-31 15:33:00,,,newest,com.marksandspencer.app,['Cannot display my Sparks offers on the app'],1,"['cannot', 'display', 'my', 'sparks', 'offers', 'on', 'the', 'app']",8,2022-03-31,15:33:00,neg,neu,pos,1,neg,"['cannot', 'display', 'my', 'spark', 'offer', 'on', 'the', 'app']",2022,3,31
gp:AOqpTOFK3x9BlkB_UwxHDr2DfgBfdFD_wR4VS1C0lyG0kDv23WSODKHd23th4Kv3-XhlQjlzgnqX-4964hGnow,James Cross,https://play-lh.googleusercontent.com/a/AATXAJyKO21zgdYGTfp_px7qev4vcN6WEuH0iRy9teJU=mo,"Can no longer access sparks offers after recent update, rubbish app.",1,0,7.0.37.2,2022-03-31 14:36:16,,,newest,com.marksandspencer.app,"['Can no longer access sparks offers after recent update, rubbish app.']",1,"['can', 'no', 'longer', 'access', 'sparks', 'offers', 'after', 'recent', 'update', ',', 'rubbish', 'app', '.']",11,2022-03-31,14:36:16,neg,neg,pos,1,neg,"['can', 'no', 'longer', 'access', 'spark', 'offer', 'after', 'recent', 'update', ',', 'rubbish', 'app', '.']",2022,3,31
gp:AOqpTOHXuzJVbpJAx3JeigIhM8lqwyYl9ecLw7K8gjEtxK4nCQgAinOH7Qr6N8nPKi2kqls6nNLixTfrUbPVog,Nicola Daniels,https://play-lh.googleusercontent.com/a/AATXAJyeMFQP64NGQ57UQ_7Spabhlzyy29nIPlUfhQJQ=mo,Latest update has totally messed up sparks! You cannot access offers at all,1,0,7.0.37.2,2022-03-31 13:17:50,,,newest,com.marksandspencer.app,"['Latest update has totally messed up sparks!', 'You cannot access offers at all']",2,"['latest', 'update', 'has', 'totally', 'messed', 'up', 'sparks', '!', 'you', 'cannot', 'access', 'offers', 'at', 'all']",13,2022-03-31,13:17:50,neg,neg,pos,1,neg,"['late', 'update', 'have', 'totally', 'mess', 'up', 'spark', '!', 'you', 'cannot', 'access', 'offer', 'at', 'all']",2022,3,31
gp:AOqpTOESrckfc8exvYQ6GU3C2ov8MTrxQP9boy_uPNjZwvjBDgG4OrkTZ1xifRJLlQtj7WHK76Ze9TE1Fmv14w,Vicky Whitlam,https://play-lh.googleusercontent.com/a/AATXAJxWscBA4MFnW8FCKhtcEV9N-czacT9U3e22fIPL=mo,Absolute waste of time since doing update. App opens fine but won't let me view my offers and difficult to navigate. I would have expected bettet from Mark & Spencer! Poor,1,0,7.0.37.2,2022-03-31 13:12:46,,,newest,com.marksandspencer.app,"['Absolute waste of time since doing update.', ""App opens fine but won't let me view my offers and difficult to navigate."", 'I would have expected bettet from Mark & Spencer!', 'Poor']",4,"['absolute', 'waste', 'of', 'time', 'since', 'doing', 'update', '.', 'app', 'opens', 'fine', 'but', ""won't"", 'let', 'me', 'view', 'my', 'offers', 'and', 'difficult', 'to', 'navigate', '.', 'i', 'would', 'have', 'expected', 'bettet', 'from', 'mark', '&', 'spencer', '!', 'poor']",30,2022-03-31,13:12:46,neg,neg,neg,1,neg,"['absolute', 'waste', 'of', 'time', 'since', 'do', 'update', '.', 'app', 'open', 'fine', 'but', ""won't"", 'let', 'me', 'view', 'my', 'offer', 'and', 'difficult', 'to', 'navigate', '.', 'i', 'would', 'have', 'expect', 'bettet', 'from', 'mark', '&', 'spencer', '!', 'poor']",2022,3,31
gp:AOqpTOGMRo12qkGa8C9_fVQEtU01xQHTpxiDAleOEtBJDM43w-AhykjaIeds5vPqEW5RxJgrlohM0fv21n9L6g,D C,https://play-lh.googleusercontent.com/a/AATXAJwhPZPRd2KhgKNRgAg9mSvpqCQbnmJhNoLgFd99=mo,Very poor. On android 9 on an Xperia xz1 the offers screen doesn't work! It just keeps cascading the window so there is NO WAY to see the offers which Makea the app useless! The most important feature doesn't work. And yes my phone is fine. Everytime you try to scroll down the offers window it just flips the window.,1,0,7.0.37.2,2022-03-31 12:58:43,,,newest,com.marksandspencer.app,"['Very poor.', ""On android 9 on an Xperia xz1 the offers screen doesn't work!"", 'It just keeps cascading the window so there is NO WAY to see the offers which Makea the app useless!', ""The most important feature doesn't work."", 'And yes my phone is fine.', 'Everytime you try to scroll down the offers window it just flips the window.']",6,"['very', 'poor', '.', 'on', 'android', '9', 'on', 'an', 'xperia', 'xz1', 'the', 'offers', 'screen', ""doesn't"", 'work', '!', 'it', 'just', 'keeps', 'cascading', 'the', 'window', 'so', 'there', 'is', 'no', 'way', 'to', 'see', 'the', 'offers', 'which', 'makea', 'the', 'app', 'useless', '!', 'the', 'most', 'important', 'feature', ""doesn't"", 'work', '.', 'and', 'yes', 'my', 'phone', 'is', 'fine', '.', 'everytime', 'you', 'try', 'to', 'scroll', 'down', 'the', 'offers', 'window', 'it', 'just', 'flips', 'the', 'window', '.']",59,2022-03-31,12:58:43,neg,neg,pos,1,neg,"['very', 'poor', '.', 'on', 'android', '9', 'on', 'an', 'xperia', 'xz1', 'the', 'offer', 'screen', ""doesn't"", 'work', '!', 'it', 'just', 'keep', 'cascade', 'the', 'window', 'so', 'there', 'be', 'no', 'way', 'to', 'see', 'the', 'offer', 'which', 'makea', 'the', 'app', 'useless', '!', 'the', 'most', 'important', 'feature', ""doesn't"", 'work', '.', 'and', 'yes', 'my', 'phone', 'be', 'fine', '.', 'everytime', 'you', 'try', 'to', 'scroll', 'down', 'the', 'offer', 'window', 'it', 'just', 'flip', 'the', 'window', '.']",2022,3,31
gp:AOqpTOEE9Zu4be6C3uLkbMvHH-uQcN9S5dt3luxJlI5xqnRBCB4B7FyFsbijK-4ohGWFqasbbDRwG9TOOcq1Mg,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,I was forced to upgrade to it and it's worse than ever. Now I can't view my sparks offers!!!,1,0,7.0.37.2,2022-03-30 20:26:56,,,newest,com.marksandspencer.app,"[""I was forced to upgrade to it and it's worse than ever."", ""Now I can't view my sparks offers!!"", '!']",3,"['i', 'was', 'forced', 'to', 'upgrade', 'to', 'it', 'and', ""it's"", 'worse', 'than', 'ever', '.', 'now', 'i', ""can't"", 'view', 'my', 'sparks', 'offers', '!', '!', '!']",19,2022-03-30,20:26:56,neg,neg,neg,1,neg,"['i', 'be', 'force', 'to', 'upgrade', 'to', 'it', 'and', ""it's"", 'bad', 'than', 'ever', '.', 'now', 'i', ""can't"", 'view', 'my', 'spark', 'offer', '!', '!', '!']",2022,3,30
gp:AOqpTOGZe76GHfCxnLgQsb7VYvH76PZFL7qrUPqnQWMFUd02ly1fBDJ3Rxn8v4LHTzA1DlPexEgPn_IBAucM-g,Elizabeth Bradford,https://play-lh.googleusercontent.com/a/AATXAJxsA_L4giDb2PGrCs2ntcbQrrlM1-MTy3vF3nep=mo,Following the last update the app no longer works on either my phone or ipad. Very fraustrating.,1,38,7.0.37.2,2022-03-30 17:40:34,,,newest,com.marksandspencer.app,"['Following the last update the app no longer works on either my phone or ipad.', 'Very fraustrating.']",2,"['following', 'the', 'last', 'update', 'the', 'app', 'no', 'longer', 'works', 'on', 'either', 'my', 'phone', 'or', 'ipad', '.', 'very', 'fraustrating', '.']",17,2022-03-30,17:40:34,neg,neg,pos,1,neg,"['follow', 'the', 'last', 'update', 'the', 'app', 'no', 'longer', 'work', 'on', 'either', 'my', 'phone', 'or', 'ipad', '.', 'very', 'fraustrating', '.']",2022,3,30
gp:AOqpTOHqpqheB1xjmhVlYhARq8iZ9iQVf75L6_vCHS18R2nAoWgtr3tAdXfMsIsvSumBt62ibV0W7pMO_-5qCQ,conrad curvin,https://play-lh.googleusercontent.com/a/AATXAJyh5zujeB_SZk8RrJMQvfrdnXgbgeKhYomdlYoI=mo,Hi your latest update is not working tried looking at Sparks can't access the offers properly can't scroll down or up totally frozen.,1,0,7.0.37.2,2022-03-30 12:30:51,,,newest,com.marksandspencer.app,"[""Hi your latest update is not working tried looking at Sparks can't access the offers properly can't scroll down or up totally frozen.""]",1,"['hi', 'your', 'latest', 'update', 'is', 'not', 'working', 'tried', 'looking', 'at', 'sparks', ""can't"", 'access', 'the', 'offers', 'properly', ""can't"", 'scroll', 'down', 'or', 'up', 'totally', 'frozen', '.']",23,2022-03-30,12:30:51,neg,neu,pos,1,neg,"['hi', 'your', 'late', 'update', 'be', 'not', 'work', 'try', 'look', 'at', 'spark', ""can't"", 'access', 'the', 'offer', 'properly', ""can't"", 'scroll', 'down', 'or', 'up', 'totally', 'frozen', '.']",2022,3,30
gp:AOqpTOGBVbXELhSsyMLo4H3vmsuQL8KAnynn6AuFiupQJt440aiyoijMjciB_tEi-dcWf--wkNalPLaEZ6JH_Q,Margaret Machray,https://play-lh.googleusercontent.com/a/AATXAJzHbjCP-VsRNWNTCdHIuxoQMBsDtR5gtcbRgx4M=mo,Trying to trace on line order,1,0,7.0.37.2,2022-03-30 11:19:09,,,newest,com.marksandspencer.app,['Trying to trace on line order'],1,"['trying', 'to', 'trace', 'on', 'line', 'order']",6,2022-03-30,11:19:09,neg,neu,neu,4,pos,"['try', 'to', 'trace', 'on', 'line', 'order']",2022,3,30
gp:AOqpTOEDlyMgd27hjcrIl9BK0Nz9T3cT1KPedl6c_MJMJb7W2IAINTOxBS8Ze76SYbGRz3hciy6357enrUkZlg,Elizabeth Cole,https://play-lh.googleusercontent.com/a-/AOh14GhX73KklqZWAgo4jH-rU_SWn136-7g0FFRdSHRnhw,Since update 24thmarch i cannot open my sparks offers,1,0,7.0.37.2,2022-03-30 08:34:28,,,newest,com.marksandspencer.app,['Since update 24thmarch i cannot open my sparks offers'],1,"['since', 'update', '24thmarch', 'i', 'cannot', 'open', 'my', 'sparks', 'offers']",9,2022-03-30,08:34:28,neg,neu,pos,1,neg,"['since', 'update', '24thmarch', 'i', 'cannot', 'open', 'my', 'spark', 'offer']",2022,3,30
gp:AOqpTOH5OlUVnlWz8nNl21VgRlOtvEkyUae2UUT1tJywWvl-CUhr2_iPI8uOjOyWQVN-6lsdAyqKqKb_Jg3m5g,Classical Persian Music,https://play-lh.googleusercontent.com/a-/AOh14GgovRMYkRoVPfVA443_VTcrm_BxnoTigi6lF0T95Q,Why don't they let us log in with our google account like any other safe app. Each time I forget my password and they give me a hard te to reset it. I'll never use this app ever again.,1,0,,2022-03-30 03:06:54,,,newest,com.marksandspencer.app,"[""Why don't they let us log in with our google account like any other safe app."", 'Each time I forget my password and they give me a hard te to reset it.', ""I'll never use this app ever again.""]",3,"['why', ""don't"", 'they', 'let', 'us', 'log', 'in', 'with', 'our', 'google', 'account', 'like', 'any', 'other', 'safe', 'app', '.', 'each', 'time', 'i', 'forget', 'my', 'password', 'and', 'they', 'give', 'me', 'a', 'hard', 'te', 'to', 'reset', 'it', '.', ""i'll"", 'never', 'use', 'this', 'app', 'ever', 'again', '.']",39,2022-03-30,03:06:54,neg,pos,pos,1,neg,"['why', ""don't"", 'they', 'let', 'us', 'log', 'in', 'with', 'our', 'google', 'account', 'like', 'any', 'other', 'safe', 'app', '.', 'each', 'time', 'i', 'forget', 'my', 'password', 'and', 'they', 'give', 'me', 'a', 'hard', 'te', 'to', 'reset', 'it', '.', ""i'll"", 'never', 'use', 'this', 'app', 'ever', 'again', '.']",2022,3,30
