reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId,reviews_in_sents,sentence_count,reviews_in_words,word_count,ymd,time,label,vader_label,textblob_label,bert_score,bert_label,reviews_lemmatized
gp:AOqpTOFkfoauTJVWKyqwzEi--cXtaFRsS2zJ99aCr-2BM5syYvs2qcj6rw0YjodWKC0uYDScqBfksXc-onUZsA,Mad Mellie,https://play-lh.googleusercontent.com/a/AATXAJzVO9pK1rDP8edHiuOP0flT7nYNmsjiBUW25W1S=mo,Pointless and missing anything useful,1,0,1.108.0,2022-03-26 09:25:57,,,newest,com.morrisons.mobile.android,['Pointless and missing anything useful'],1,"['pointless', 'and', 'missing', 'anything', 'useful']",5,2022-03-26,09:25:57,neg,pos,neg,1,neg,"['pointless', 'and', 'miss', 'anything', 'useful']"
gp:AOqpTOE3Bxz1dlTIWfUrU1ZGj0VrEJWTH7dU0WHd61tx8_3B6HgBylgXUtIeqxoGGHKd48hCo8mzV8jYGvYDAg,Lynn Allan,https://play-lh.googleusercontent.com/a/AATXAJyAnQFQekmVeA3VLH5Mqk8Q3_KVoKm_BYOhrX4M=mo,I've had my order cancelled twice by morrisons. Not sure why. Everything has been updated and my bank account is fine. I've been left with no food in the house and as a house bound person I now have a problem . I've never had this happen before in all the years I've been a customer. I'm thinking I might have to find another store,1,0,,2022-03-13 05:53:27,,,newest,com.morrisons.mobile.android,"[""I've had my order cancelled twice by morrisons."", 'Not sure why.', 'Everything has been updated and my bank account is fine.', ""I've been left with no food in the house and as a house bound person I now have a problem ."", ""I've never had this happen before in all the years I've been a customer."", ""I'm thinking I might have to find another store""]",6,"[""i've"", 'had', 'my', 'order', 'cancelled', 'twice', 'by', 'morrisons', '.', 'not', 'sure', 'why', '.', 'everything', 'has', 'been', 'updated', 'and', 'my', 'bank', 'account', 'is', 'fine', '.', ""i've"", 'been', 'left', 'with', 'no', 'food', 'in', 'the', 'house', 'and', 'as', 'a', 'house', 'bound', 'person', 'i', 'now', 'have', 'a', 'problem', '.', ""i've"", 'never', 'had', 'this', 'happen', 'before', 'in', 'all', 'the', 'years', ""i've"", 'been', 'a', 'customer', '.', ""i'm"", 'thinking', 'i', 'might', 'have', 'to', 'find', 'another', 'store']",64,2022-03-13,05:53:27,neg,neg,pos,4,pos,"[""i've"", 'have', 'my', 'order', 'cancel', 'twice', 'by', 'morrison', '.', 'not', 'sure', 'why', '.', 'everything', 'have', 'be', 'update', 'and', 'my', 'bank', 'account', 'be', 'fine', '.', ""i've"", 'be', 'leave', 'with', 'no', 'food', 'in', 'the', 'house', 'and', 'as', 'a', 'house', 'bound', 'person', 'i', 'now', 'have', 'a', 'problem', '.', ""i've"", 'never', 'have', 'this', 'happen', 'before', 'in', 'all', 'the', 'year', ""i've"", 'be', 'a', 'customer', '.', ""i'm"", 'think', 'i', 'might', 'have', 'to', 'find', 'another', 'store']"
gp:AOqpTOG9z5T8jjJV2cuog6r7NPqILlipzpC7CI5XLoCXOFE_hL2-UNl-X68lN2b-sU6vdJDfhEYDFuwSGklD6A,Somaye,https://play-lh.googleusercontent.com/a/AATXAJwJ0KFiA_OBtzkuxTJwPIIXYDNoJT2J1VWWNV49=mo,Won't allow me to do click and collect? Terrible,1,0,1.114.1,2022-03-12 15:46:13,,,newest,com.morrisons.mobile.android,"[""Won't allow me to do click and collect?"", 'Terrible']",2,"[""won't"", 'allow', 'me', 'to', 'do', 'click', 'and', 'collect', '?', 'terrible']",9,2022-03-12,15:46:13,neg,neg,neg,1,neg,"[""won't"", 'allow', 'me', 'to', 'do', 'click', 'and', 'collect', '?', 'terrible']"
gp:AOqpTOGM4YfU7KEv0q1IwUPYjjXTp6vsmUIdQGqzPd77nvu3ZptTWVSbHLbyhHBpVGiO4DYyU2Xnm6Nn7dTAGA,Christine Layton,https://play-lh.googleusercontent.com/a/AATXAJwX6mT_D3rhmSQE1rId7Vi5wb9L9GrjpZ8Qb7Z_=mo,What has happened to this app? It will not allow me to edit an order. I have been using the Morrison's app for well over two years and have recently moved house. Since moving house the app no longer works on my phone and I have been unable to find anyone within the Morrison's team who can give me any help to get it to work.,1,15,1.112.2,2022-03-08 21:05:14,,,newest,com.morrisons.mobile.android,"['What has happened to this app?', 'It will not allow me to edit an order.', ""I have been using the Morrison's app for well over two years and have recently moved house."", ""Since moving house the app no longer works on my phone and I have been unable to find anyone within the Morrison's team who can give me any help to get it to work.""]",4,"['what', 'has', 'happened', 'to', 'this', 'app', '?', 'it', 'will', 'not', 'allow', 'me', 'to', 'edit', 'an', 'order', '.', 'i', 'have', 'been', 'using', 'the', ""morrison's"", 'app', 'for', 'well', 'over', 'two', 'years', 'and', 'have', 'recently', 'moved', 'house', '.', 'since', 'moving', 'house', 'the', 'app', 'no', 'longer', 'works', 'on', 'my', 'phone', 'and', 'i', 'have', 'been', 'unable', 'to', 'find', 'anyone', 'within', 'the', ""morrison's"", 'team', 'who', 'can', 'give', 'me', 'any', 'help', 'to', 'get', 'it', 'to', 'work', '.']",66,2022-03-08,21:05:14,neg,pos,neg,1,neg,"['what', 'have', 'happen', 'to', 'this', 'app', '?', 'it', 'will', 'not', 'allow', 'me', 'to', 'edit', 'an', 'order', '.', 'i', 'have', 'be', 'use', 'the', ""morrison's"", 'app', 'for', 'well', 'over', 'two', 'year', 'and', 'have', 'recently', 'move', 'house', '.', 'since', 'move', 'house', 'the', 'app', 'no', 'longer', 'work', 'on', 'my', 'phone', 'and', 'i', 'have', 'be', 'unable', 'to', 'find', 'anyone', 'within', 'the', ""morrison's"", 'team', 'who', 'can', 'give', 'me', 'any', 'help', 'to', 'get', 'it', 'to', 'work', '.']"
gp:AOqpTOFKsnn-pbI_WO9b-eYz3SmbexJlTDuWmWbQ9pReFXZaN_xxv2_Qv_1uXgLJygRm8Dp_o33Q-UnONUsttA,chris poile,https://play-lh.googleusercontent.com/a/AATXAJxcPmMiZX5e_3DXbgcWheiAuPQOzKo5Qj6lVXzw=mo,"Even less workable than the last version. This recognises my post code and previous orders, it allows me to book a slot but does not allow me to put anything in the basket and keeps trying to check out every time I click on something.",1,19,1.111.3,2022-02-20 16:08:56,,,newest,com.morrisons.mobile.android,"['Even less workable than the last version.', 'This recognises my post code and previous orders, it allows me to book a slot but does not allow me to put anything in the basket and keeps trying to check out every time I click on something.']",2,"['even', 'less', 'workable', 'than', 'the', 'last', 'version', '.', 'this', 'recognises', 'my', 'post', 'code', 'and', 'previous', 'orders', ',', 'it', 'allows', 'me', 'to', 'book', 'a', 'slot', 'but', 'does', 'not', 'allow', 'me', 'to', 'put', 'anything', 'in', 'the', 'basket', 'and', 'keeps', 'trying', 'to', 'checkout', 'every', 'time', 'i', 'click', 'on', 'something', '.']",45,2022-02-20,16:08:56,neg,neg,neg,5,pos,"['even', 'less', 'workable', 'than', 'the', 'last', 'version', '.', 'this', 'recognise', 'my', 'post', 'code', 'and', 'previous', 'order', ',', 'it', 'allow', 'me', 'to', 'book', 'a', 'slot', 'but', 'do', 'not', 'allow', 'me', 'to', 'put', 'anything', 'in', 'the', 'basket', 'and', 'keep', 'try', 'to', 'checkout', 'every', 'time', 'i', 'click', 'on', 'something', '.']"
gp:AOqpTOGXafMFZ2pruHHJbKpvzxy2_FZMwkiiXJrjAmFGcw-uJo_YZiMT2RrpNVOca5o8onVi0OfwEjpOBPWaUw,June Mewse,https://play-lh.googleusercontent.com/a/AATXAJz-e54iOQRlVuX392wm0nEtY9K3qgqCGpUVNUr0=mo,Dreadful,1,0,1.111.3,2022-02-11 22:00:17,,,newest,com.morrisons.mobile.android,['Dreadful'],1,['dreadful'],1,2022-02-11,22:00:17,neg,neg,neg,1,neg,['dreadful']
gp:AOqpTOFLNb0O4yle1wOKJW55KI483DR2teYVBiZo63AnyDzD7SHvOfvh5UzNX9FRlr-4L2jgvJL7jMdWHHKS1Q,Nomzy Kins,https://play-lh.googleusercontent.com/a/AATXAJwg5njDlVXSbH4qaIN-ssrZekPL2ioy69AuRE5S=mo,Won't load anything,1,0,1.111.3,2022-02-10 15:38:26,,,newest,com.morrisons.mobile.android,"[""Won't load anything""]",1,"[""won't"", 'load', 'anything']",3,2022-02-10,15:38:26,neg,neu,neu,1,neg,"[""won't"", 'load', 'anything']"
gp:AOqpTOGbLkGUBl_4JasapTsJOWfHFQURHH2FUFVMD0cmNeD6KVRVMRgpl5-ErD4fv5PiRmxLNkedVMLynsFYog,Clare Fitzsimons,https://play-lh.googleusercontent.com/a/AATXAJzaJfTVPIQ-MMcx4CojoX02vMr9KoBWCSb4W6hq=mo,Really hard to download the app,1,0,1.111.3,2022-02-10 14:07:39,,,newest,com.morrisons.mobile.android,['Really hard to download the app'],1,"['really', 'hard', 'to', 'download', 'the', 'app']",6,2022-02-10,14:07:39,neg,neg,neg,2,neg,"['really', 'hard', 'to', 'download', 'the', 'app']"
gp:AOqpTOHS5o0KndGL_4LJbPMFAhCGGMGRnJ_XRmRPeNTcmQEFAgg3eqQHL7iUeVAGGs3YnIxD6TTW08E6GA7deA,John 999,https://play-lh.googleusercontent.com/a/AATXAJxv3gXe3B-tFHr0tMZnYtHyLQnfAQJZJj0pipuB=mo,SPYWARE: Install if you want your personal data sent to third parties (ime. Google ),1,0,,2021-12-29 09:34:19,,,newest,com.morrisons.mobile.android,"['SPYWARE: Install if you want your personal data sent to third parties (ime.', 'Google )']",2,"['spyware', ':', 'install', 'if', 'you', 'want', 'your', 'personal', 'data', 'sent', 'to', 'third', 'parties', '(', 'ime', '.', 'google', ')']",14,2021-12-29,09:34:19,neg,pos,neu,1,neg,"['spyware', ':', 'install', 'if', 'you', 'want', 'your', 'personal', 'data', 'send', 'to', 'third', 'party', '(', 'ime', '.', 'google', ')']"
gp:AOqpTOFwxmsZYgX_pVqDxggSmGu6ZCf77Ip0w-k5Kp1S0cFuAZZJuQzdSssOvg3iYXX__HDn0hB187V2Hrzphg,David Clarke,https://play-lh.googleusercontent.com/a-/AOh14Gjsq0HsFm-NKQU4ZOgI96tZyrqZbKYuRiWotzI,Dreadful app. The shops say that it has nothing to do with Morrisons,1,0,,2021-12-28 15:25:43,,,newest,com.morrisons.mobile.android,"['Dreadful app.', 'The shops say that it has nothing to do with Morrisons']",2,"['dreadful', 'app', '.', 'the', 'shops', 'say', 'that', 'it', 'has', 'nothing', 'to', 'do', 'with', 'morrisons']",13,2021-12-28,15:25:43,neg,neg,neg,1,neg,"['dreadful', 'app', '.', 'the', 'shop', 'say', 'that', 'it', 'have', 'nothing', 'to', 'do', 'with', 'morrison']"
gp:AOqpTOGUcyrjrJ69e-ZRGjoy4o6Rf0swH07ru5AI0AptKcJuEFWMt3XT9isPpB1hkVgEer9MftmEUQO6ATZv_g,Ann Batchelor,https://play-lh.googleusercontent.com/a-/AOh14Ggp7r0Q3ydes_CcrjVXRrAJrXU02KE2BL5xaWP4zw,"Placed my order, regular customer can't complete check out, frustrating.",1,0,1.54.6.613780,2021-12-04 16:29:04,,,newest,com.morrisons.mobile.android,"[""Placed my order, regular customer can't complete check out, frustrating.""]",1,"['placed', 'my', 'order', ',', 'regular', 'customer', ""can't"", 'complete', 'checkout', ',', 'frustrating', '.']",10,2021-12-04,16:29:04,neg,neg,neg,1,neg,"['place', 'my', 'order', ',', 'regular', 'customer', ""can't"", 'complete', 'checkout', ',', 'frustrating', '.']"
gp:AOqpTOEp-eefj7lEKfSjvo-7slfVcjAu3MtxsDYtBKJZ75tFkythJwm0zVJdMNin-C4DlZK_KbqbS33aIIbSxQ,Kulsuma Begum,https://play-lh.googleusercontent.com/a/AATXAJxA-PicPrazMVzKVHVWrwi-0sYt578HNHWtVwxV=mo,I would give it a 0 cos have tried several time to download this app but it doesn't so now I cant even use my nhs discount!,1,0,,2021-11-14 10:38:46,,,newest,com.morrisons.mobile.android,"[""I would give it a 0 cos have tried several time to download this app but it doesn't so now I cant even use my nhs discount!""]",1,"['i', 'would', 'give', 'it', 'a', '0', 'cos', 'have', 'tried', 'several', 'time', 'to', 'download', 'this', 'app', 'but', 'it', ""doesn't"", 'so', 'now', 'i', 'cant', 'even', 'use', 'my', 'nhs', 'discount', '!']",26,2021-11-14,10:38:46,neg,neu,neu,1,neg,"['i', 'would', 'give', 'it', 'a', '0', 'co', 'have', 'try', 'several', 'time', 'to', 'download', 'this', 'app', 'but', 'it', ""doesn't"", 'so', 'now', 'i', 'cant', 'even', 'use', 'my', 'nhs', 'discount', '!']"
