reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
gp:AOqpTOHoLYWCleX8HM-fJST-nS6_Q7nRCKgUfcXviZWMUXRFwUnTKZyTK2G2sn_Dr4IkNKo20RRkaEDSi6i0fA,Joyce Jamieson,https://play-lh.googleusercontent.com/a/AATXAJyWof_r9HDLnmnTFN65i0LuQLbIs0BwSVHs0aOc=mo,Found this confusing and difficult,1,0,19.29.0,2022-03-31 16:48:34,,,newest,com.tesco.grocery.view
gp:AOqpTOEALmLSsWoRa5iIEtmENfRtPkvS3O-W7NvitLWQp1NIVCvlW3Xm_ITSrScMGjqxIat4zEL4CiQjOBkTHQ,Alistair Charles,https://play-lh.googleusercontent.com/a/AATXAJxME1njvxet2V3cS6H_2OpAnW14cSRmOEQsQUY4=mo,Rubbish app. Forgets changes to orders.,1,0,19.29.0,2022-03-30 21:37:56,,,newest,com.tesco.grocery.view
gp:AOqpTOGosMLyacp8xUArioSjY5_628L0xxBJ3BmgTtCuvWwqvN1VhkxOiQ6LrOWeuHZT_xMdOPc5th7CL7AY8A,John Hirst,https://play-lh.googleusercontent.com/a/AATXAJxKXn8TrUhIPUVPMBbOr1wwjc5NJpNQ6GLbAIVs=mo,"Rubbish, constantly asking to resign in",1,0,19.29.0,2022-03-30 17:31:00,,,newest,com.tesco.grocery.view
gp:AOqpTOFAsHuUFqWOKGGtNzL4nKetpiN7Ofa9Bjlg8qw_i_Bxa_48i_Dv89Df54SSYfUN08L_vdRfnZl_66SXVQ,Rula Sotiri,https://play-lh.googleusercontent.com/a/AATXAJyLKIaEQqn2-wMuLEwHqL-ylPP1KYaD-BY5_p12=mo,Terrible,1,0,19.13.0,2022-03-30 10:31:25,,,newest,com.tesco.grocery.view
gp:AOqpTOGsEOuB5kASf1CwHBp8-DfEzUIjwppVtIJJL9ezh8TtP3muUlf8BxtObcbV2Fwxl68tmjcjFJ4XTqPX1A,Hey Boo,https://play-lh.googleusercontent.com/a/AATXAJyvhXNbjqwMHMIO-NTO6u5FHYu4U-YmwZdUWhwB=mo,"Got to be a better way to do it, I search for cigarettes and get a load of other products that also come in 20s",1,0,19.29.0,2022-03-30 08:11:54,,,newest,com.tesco.grocery.view
gp:AOqpTOHbEWaEPaarmEliv8pp21O7EmHJ618AM_Etw9bpVUpMyxsb7EmKV-E95Ce3gxdLBlV4u069MuQ2_aLccQ,Stephen Wren,https://play-lh.googleusercontent.com/a-/AOh14GjSAf_Gu9u9eB1_hzs5d5B0mHfGfrFxMV8KK7Akfw,"Negative stars! World's most annoying app. Endless nagging for reviews. GRRR, this app gets worse and worse! So many stages now to checkout your shopping STOP NAGGING ME TO RATE THIS APP! So annoying! Constant annoying prompts to rate the app, even after reviewing the annoying prompts still ask for a rating! This really spoils the app. Would change supermarket as a result if we weren't subscribed to a delivery plan.",1,4,19.29.0,2022-03-29 22:11:17,,,newest,com.tesco.grocery.view
gp:AOqpTOGwhcJz10XyegVEbOmAGmWV4iqOxag1e2VU3xwRk8N8Ug0NQQxEIgasROsW2nr3Xa4sEyx2iOihQ9CbiQ,Paul Bayram,https://play-lh.googleusercontent.com/a-/AOh14GjBed-IrUbLHmphfJ-7LjtVX4X5LsPdExuBuKhJVg,Took the ability to check local stock away. Was good to use to see if they had certain games instock,1,0,19.29.0,2022-03-29 19:23:59,,,newest,com.tesco.grocery.view
gp:AOqpTOFmsjych_mYYwbdmU2c8L8v-mdJZ__04o9w5L6B7e1qiNciJgfEJ2Y1NtInQ0rBAOb4mn1NKAWHJDHq4w,Gordon Rattray,https://play-lh.googleusercontent.com/a/AATXAJyKhdAZveaeIhiSieleE2rLiknk2hDW9h3zWj7e=mo,Terrible search engine you have to be so specific in what you search for or end up searching through 60 items that are nothing to do with what you wanted,1,0,19.29.0,2022-03-29 14:41:31,,,newest,com.tesco.grocery.view
gp:AOqpTOHsa8IZcVX-aQvTDB-tHN64cj981MckTlCJtzQ2ZxyQ8EiIxA5NotqsWv9X4YUYVTHZuJRPBmP6cExBuA,Sarah C,https://play-lh.googleusercontent.com/a-/AOh14Gil35I7ZGrU2KysCkvh70dwn1ajbhaxjEKyLw2KJ6o,Cancellation every week now. I've been going hungry because Tesco just can't be bothered to deliver anymore. I've been using it since 2015 with generally few problems but suddenly everything went downhill. I am tired of starving because of Tesco. I'm looking for a different delivery service.,1,0,19.29.0,2022-03-28 23:47:03,,,newest,com.tesco.grocery.view
gp:AOqpTOGG0MmSJZ1BLJ45uggzCxFNZG9VsjoRR3ZQP0MPs3G_gtKUYNVxADBmZQiOPiJGGdofLV9qpzX7G_gEfw,Joanne McLeod,https://play-lh.googleusercontent.com/a/AATXAJwwT57xWowEWPTmUM5Pekpqa93geZVvbs7-zUwQ=mo,This is ridiculous 135 items for a family of 5 to do a monthly shop Shall be going to Asda from now on,1,0,19.29.0,2022-03-28 20:09:04,,,newest,com.tesco.grocery.view
gp:AOqpTOEjT0CMvXBu89TDYHlTEdEy-HLHnX19HsMRDtvmCo0qo-j9Zi23yIhSz28RB9gQ4NkdL6xqokdpnakxkw,Andrew England,https://play-lh.googleusercontent.com/a-/AOh14GiGv1hvC1_gkntxzISi29AVlkirDTrCYJdn63rLag,Too complicated to pay all this going back to my bank all the time. Never had this trouble with visa,1,0,19.29.0,2022-03-28 19:34:16,,,newest,com.tesco.grocery.view
gp:AOqpTOG58-kdBYXBZ51YPgG_EAKAzb5pYJW2P9Xv434OFvWSyR3DG-fPRsZHb1O8HMfT980SXN9zpH405KC9lg,Lesley Rickman,https://play-lh.googleusercontent.com/a/AATXAJzQp_4PLu7yWs52EcVTP7SMBlChe4SfIf5DO3Eg=mo,Took to long not very impressed.,1,0,19.29.0,2022-03-28 14:19:57,,,newest,com.tesco.grocery.view
gp:AOqpTOHdbyvKiOIaXP59e0gtaSe9uaX26ZtKKU16-ERmedvOG73x1T9ySdRD_69gzQqR4gbCtaJakx5TlYpa4w,Anne Jones,https://play-lh.googleusercontent.com/a/AATXAJzKK7syBSfWQvCkaOcK_-87pYk-EvOmo8AgxcFM=mo,Would not let me join,1,0,19.29.0,2022-03-27 17:31:14,,,newest,com.tesco.grocery.view
gp:AOqpTOFc4D6LWEg1mP8zWklMYK3UkLEddUGaJ9suGLS0ZWAnVw4780M5nEPxALO2yric-uppNV3q2aO2k74yvQ,Sue Atkinson,https://play-lh.googleusercontent.com/a/AATXAJzl4ID6rJ-bZRnXhLf2kEFGK3hKfehvITvyAaQb=mo,Club card don't work on phone,1,0,,2022-03-27 13:26:19,,,newest,com.tesco.grocery.view
gp:AOqpTOFMHiOWiPqGaKsTv0TOS5pzq1cuhxFaNYymbcjI2WcYDVbT95isa29oQABB1pnEAraOdhFCZoLDQynMaw,nathan clax,https://play-lh.googleusercontent.com/a/AATXAJzBTlR_OBpXejegU_WOLe12kQF0a3aUUM9W0m-1=mo,Cancelled in the last minute twice at 10pm when no other shops are open leaving me with no food. Thanks tesco great job,1,1,19.29.0,2022-03-26 22:45:13,,,newest,com.tesco.grocery.view
gp:AOqpTOFILrdRdVxo3Eim_cM_3GlbglRoomHXjvhP-ptJdxDgzIhDuaDYIofFxQ7d4Ir92cNJSlYZv36dLxl_oQ,Eileen O'Connell,https://play-lh.googleusercontent.com/a/AATXAJxkzaQs_2Fnlfd2RpBOzVFqPB9OH0Yhg81iWyet=mo,Keeps dropping me off their system.,1,0,19.29.0,2022-03-26 09:32:21,,,newest,com.tesco.grocery.view
