reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId,reviews_in_sents,sentence_count,reviews_in_words,word_count,ymd,time,label,vader_label,textblob_label,bert_score,bert_label,reviews_lemmatized,year,month,day
gp:AOqpTOHTs7Xr-9FcuWFE17W_h9sI_89IFzvKQjXGL1yOq7kduh6vs0FuVFUwbjdVhFzXMkQh0G_tWGfKFIcP,bijal rajput,https://play-lh.googleusercontent.com/a-/AOh14GhoStFIGkswxFNNFClubNf-8zGjNU9S5e-c0MlCPg,Poor app doesn't do the job no updates on ur online order!!!,1,0,3.0.2,2022-03-31 09:40:35,,,newest,com.sainsburys.gol,"[""Poor app doesn't do the job no updates on ur online order!!"", '!']",2,"['poor', 'app', ""doesn't"", 'do', 'the', 'job', 'no', 'updates', 'on', 'ur', 'online', 'order', '!', '!', '!']",12,2022-03-31,09:40:35,neg,neg,neg,1,neg,"['poor', 'app', ""doesn't"", 'do', 'the', 'job', 'no', 'update', 'on', 'ur', 'online', 'order', '!', '!', '!']",2022,3,31
gp:AOqpTOH12ihbfksjtl1x7do4__RJvgpUPr4SxJdy7535EO0WGaSZ5yj8rtInm32ZbjOcJ8QAYk3b6lLhyrYF,Joan Price,https://play-lh.googleusercontent.com/a/AATXAJy-o4A5KDNJM_LDXOzgMhxnMNh4G42LNdZKpZg=mo,"Rubbish can't sign in to do shopping, been like this a few days now",1,0,3.0.2,2022-03-31 02:00:09,,,newest,com.sainsburys.gol,"[""Rubbish can't sign in to do shopping, been like this a few days now""]",1,"['rubbish', ""can't"", 'sign', 'in', 'to', 'do', 'shopping', ',', 'been', 'like', 'this', 'a', 'few', 'days', 'now']",14,2022-03-31,02:00:09,neg,pos,neg,1,neg,"['rubbish', ""can't"", 'sign', 'in', 'to', 'do', 'shopping', ',', 'be', 'like', 'this', 'a', 'few', 'day', 'now']",2022,3,31
gp:AOqpTOHrd1so5x65ltsmjydAi97BkdG7h-0Q8SEKHM3X38GZtvHjbmHGa0mqZZRjYsm10tzFRp28Zk0bydwJ,John Rossiter,https://play-lh.googleusercontent.com/a/AATXAJwjM39mC_k3C3hnhG08saYdqqRcf1N7Bl1o0UxZ=mo,Keeps showing 403 error code,1,0,3.0.2,2022-03-30 06:43:25,,,newest,com.sainsburys.gol,['Keeps showing 403 error code'],1,"['keeps', 'showing', '403', 'error', 'code']",5,2022-03-30,06:43:25,neg,neg,neu,1,neg,"['keep', 'show', '403', 'error', 'code']",2022,3,30
gp:AOqpTOHUdEnDx48V6m1B9v7aNMs0FWKsdCmLLn1KKvnTTSqu1XraJ9yC5e8MdAKJflENe86G2KI6wNJqln-k,Ms P,https://play-lh.googleusercontent.com/a/AATXAJwlrUxbLv3vFibrz-1GvLwv7IbvW_ypEGqnVu-Z=mo,"I wouldn't recommend amending an order the night before delivery. Added to all the other bugs I'm now getting warning messages it's after 11pm (it's 8pm) and the order can't be amended, then a message saying I've lost my slot. So all they've done is change the UI but fixed nothing and broke more!!!!",1,17,3.0.2,2022-03-29 20:15:13,,,newest,com.sainsburys.gol,"[""I wouldn't recommend amending an order the night before delivery."", ""Added to all the other bugs I'm now getting warning messages it's after 11pm (it's 8pm) and the order can't be amended, then a message saying I've lost my slot."", ""So all they've done is change the UI but fixed nothing and broke more!!!"", '!']",4,"['i', ""wouldn't"", 'recommend', 'amending', 'an', 'order', 'the', 'night', 'before', 'delivery', '.', 'added', 'to', 'all', 'the', 'other', 'bugs', ""i'm"", 'now', 'getting', 'warning', 'messages', ""it's"", 'after', '11pm', '(', ""it's"", '8p', 'm', ')', 'and', 'the', 'order', ""can't"", 'be', 'amended', ',', 'then', 'a', 'message', 'saying', ""i've"", 'lost', 'my', 'slot', '.', 'so', 'all', ""they've"", 'done', 'is', 'change', 'the', 'ui', 'but', 'fixed', 'nothing', 'and', 'broke', 'more', '!', '!', '!']",55,2022-03-29,20:15:13,neg,neg,pos,1,neg,"['i', ""wouldn't"", 'recommend', 'amend', 'an', 'order', 'the', 'night', 'before', 'delivery', '.', 'add', 'to', 'all', 'the', 'other', 'bug', ""i'm"", 'now', 'get', 'warn', 'message', ""it's"", 'after', '11pm', '(', ""it's"", '8p', 'm', ')', 'and', 'the', 'order', ""can't"", 'be', 'amend', ',', 'then', 'a', 'message', 'say', ""i've"", 'lose', 'my', 'slot', '.', 'so', 'all', ""they've"", 'do', 'be', 'change', 'the', 'ui', 'but', 'fixed', 'nothing', 'and', 'break', 'more', '!', '!', '!']",2022,3,29
gp:AOqpTOFSlwQ226ANHjweUytmKu0Jo6ZGEaT3aS5YqKQSN_lKADL1ewY3d_Cy0aoqrL9QRdSuhesEBU0lOxsW,Peter Walton,https://play-lh.googleusercontent.com/a-/AOh14Ggu3yAnF5IKRtkOZIYWwn6U9XbO-GiXSxjrAFM-JQ,"EMAIL CONFIRMATION 3 DAYS AFTER DELIVERY Used to be one of the better shopping apps BUT why am I now receiving email confirmation of my order (and it's details) 4-5 hours after the delivery has been made?? * NOW getting them through THIRTY-SIX HOURS AFTER DELIVERY, * NOW 3 DAYS AFTER DELIVERY?? What an absolute farce 🤬",1,8,3.0.2,2022-03-29 09:48:24,,,newest,com.sainsburys.gol,"[""EMAIL CONFIRMATION 3 DAYS AFTER DELIVERY Used to be one of the better shopping apps BUT why am I now receiving email confirmation of my order (and it's details) 4-5 hours after the delivery has been made??"", '* NOW getting them through THIRTY-SIX HOURS AFTER DELIVERY, * NOW 3 DAYS AFTER DELIVERY??', 'What an absolute farce 🤬']",3,"['email', 'confirmation', '3', 'days', 'after', 'delivery', 'used', 'to', 'be', 'one', 'of', 'the', 'better', 'shopping', 'apps', 'but', 'why', 'am', 'i', 'now', 'receiving', 'email', 'confirmation', 'of', 'my', 'order', '(', 'and', ""it's"", 'details', ')', '4-5', 'hours', 'after', 'the', 'delivery', 'has', 'been', 'made', '?', '?', '*', 'now', 'getting', 'them', 'through', 'thirty-six', 'hours', 'after', 'delivery', ',', '*', 'now', '3', 'days', 'after', 'delivery', '?', '?', 'what', 'an', 'absolute', 'farce', '🤬']",53,2022-03-29,09:48:24,neg,neg,pos,1,neg,"['email', 'confirmation', '3', 'day', 'after', 'delivery', 'use', 'to', 'be', 'one', 'of', 'the', 'good', 'shopping', 'apps', 'but', 'why', 'be', 'i', 'now', 'receive', 'email', 'confirmation', 'of', 'my', 'order', '(', 'and', ""it's"", 'detail', ')', '4-5', 'hour', 'after', 'the', 'delivery', 'have', 'be', 'make', '?', '?', '*', 'now', 'get', 'them', 'through', 'thirty-six', 'hour', 'after', 'delivery', ',', '*', 'now', '3', 'day', 'after', 'delivery', '?', '?', 'what', 'an', 'absolute', 'farce', '🤬']",2022,3,29
gp:AOqpTOGWgLWwK_d6uyDjgGLEDgUHj7ojJCOcrg92C0sLhr4-9jC5ATGSLsIUUwLRqsLVPPCyqBflXuq6snCW,Matt Stuttle,https://play-lh.googleusercontent.com/a-/AOh14GhonlrpyqbtgSWj_Cg4Jlg6jzUZS6UeQkxjoaPugek,"It's okay, I'm just leaving this review so it stops asking me to leave a review",1,0,3.0.2,2022-03-29 09:07:02,,,newest,com.sainsburys.gol,"[""It's okay, I'm just leaving this review so it stops asking me to leave a review""]",1,"[""it's"", 'okay', ',', ""i'm"", 'just', 'leaving', 'this', 'review', 'so', 'it', 'stops', 'asking', 'me', 'to', 'leave', 'a', 'review']",16,2022-03-29,09:07:02,neg,neg,pos,3,neu,"[""it's"", 'okay', ',', ""i'm"", 'just', 'leave', 'this', 'review', 'so', 'it', 'stop', 'ask', 'me', 'to', 'leave', 'a', 'review']",2022,3,29
gp:AOqpTOE_WJG0S_n4A5oF1Ovfg8fDhlSr-ns4_BzfdckPDhgJLa5SQC5Dzkkx_OwcUlU7oFT0uzgk6aVm24aY,Raymond Moody,https://play-lh.googleusercontent.com/a/AATXAJwPfbg7ooFCi2BQhMfV5cxh1Im0exxdczjVVaOr=mo,Dreadfull,1,0,3.0.1,2022-03-29 04:44:03,,,newest,com.sainsburys.gol,['Dreadfull'],1,['dreadfull'],1,2022-03-29,04:44:03,neg,neu,neu,1,neg,['dreadfull'],2022,3,29
gp:AOqpTOG0x4gKvKtaV3UObc-XSMXI3Pm_gmMftnbrEcA9HLEBMTLH1ohVrEhh_v-Zl0Z0sasaqklhvrVvVNuJ,Darren S,https://play-lh.googleusercontent.com/a-/AOh14GiSC6UyW9EJTo2UHdcPDtpjr-AxM1I87O3L2vHUUw,Difficult to connect to nectar. Marketing said it was as easy as 3 steps. Didn't get the bonus points which was the whole point of my attempt. Customer service useless. Don't waste your time.,1,0,3.0.1,2022-03-29 01:04:48,,,newest,com.sainsburys.gol,"['Difficult to connect to nectar.', 'Marketing said it was as easy as 3 steps.', ""Didn't get the bonus points which was the whole point of my attempt."", 'Customer service useless.', ""Don't waste your time.""]",5,"['difficult', 'to', 'connect', 'to', 'nectar', '.', 'marketing', 'said', 'it', 'was', 'as', 'easy', 'as', '3', 'steps', '.', ""didn't"", 'get', 'the', 'bonus', 'points', 'which', 'was', 'the', 'whole', 'point', 'of', 'my', 'attempt', '.', 'customer', 'service', 'useless', '.', ""don't"", 'waste', 'your', 'time', '.']",33,2022-03-29,01:04:48,neg,neg,neg,1,neg,"['difficult', 'to', 'connect', 'to', 'nectar', '.', 'marketing', 'say', 'it', 'be', 'as', 'easy', 'as', '3', 'step', '.', ""didn't"", 'get', 'the', 'bonus', 'point', 'which', 'be', 'the', 'whole', 'point', 'of', 'my', 'attempt', '.', 'customer', 'service', 'useless', '.', ""don't"", 'waste', 'your', 'time', '.']",2022,3,29
gp:AOqpTOH7m1eEdgAHWJ5UEs-xWMfpukdSKoEs5WO2krqEXUI3dUV7Xgchb7ryYFneqJ6x4TLUKlgJWMFAoowx,Anne Hickey,https://play-lh.googleusercontent.com/a-/AOh14GhY3KmrJ9hLE383kgvfzckCe2CJmrHXy41AchmNfw,"Trying to place an order to hold my delivery slot until I'm ready to deal with the order on the right day, and all it keeps saying I haven't reached the 'minimum spend' and won't let me checkout.",1,0,3.0.1,2022-03-27 10:10:55,,,newest,com.sainsburys.gol,"[""Trying to place an order to hold my delivery slot until I'm ready to deal with the order on the right day, and all it keeps saying I haven't reached the 'minimum spend' and won't let me checkout.""]",1,"['trying', 'to', 'place', 'an', 'order', 'to', 'hold', 'my', 'delivery', 'slot', 'until', ""i'm"", 'ready', 'to', 'deal', 'with', 'the', 'order', 'on', 'the', 'right', 'day', ',', 'and', 'all', 'it', 'keeps', 'saying', 'i', ""haven't"", 'reached', 'the', ""'"", 'minimum', 'spend', ""'"", 'and', ""won't"", 'let', 'me', 'checkout', '.']",38,2022-03-27,10:10:55,neg,pos,pos,3,neu,"['try', 'to', 'place', 'an', 'order', 'to', 'hold', 'my', 'delivery', 'slot', 'until', ""i'm"", 'ready', 'to', 'deal', 'with', 'the', 'order', 'on', 'the', 'right', 'day', ',', 'and', 'all', 'it', 'keep', 'say', 'i', ""haven't"", 'reach', 'the', ""'"", 'minimum', 'spend', ""'"", 'and', ""won't"", 'let', 'me', 'checkout', '.']",2022,3,27
gp:AOqpTOETIyMvKrSvGfz5fh3ErVYTAwGOfN8gi8eOa2REiUR4nFNguFPXPAnOHHsaFCOAVsU4FQP9PT25e3Er,andym1742,https://play-lh.googleusercontent.com/a-/AOh14GjEL9grXmUUBXmiO0B55HpIj2tMohCj0JekX3WGpM8,"Once again unable to access this app. I have checked and rechecked my phone which is working perfectly. I'm able to access every other app. I have uninstalled and reinstalled the app, nothing changes. Yesterday the app informed me that Christmas shopping days will soon be announced. Sadly, the time is coming to change supermarket which is a shame as the delivery drivers are always very polite, friendly and helpful.",1,2,3.0.1,2022-03-27 07:23:35,,,newest,com.sainsburys.gol,"['Once again unable to access this app.', 'I have checked and rechecked my phone which is working perfectly.', ""I'm able to access every other app."", 'I have uninstalled and reinstalled the app, nothing changes.', 'Yesterday the app informed me that Christmas shopping days will soon be announced.', 'Sadly, the time is coming to change supermarket which is a shame as the delivery drivers are always very polite, friendly and helpful.']",6,"['once', 'again', 'unable', 'to', 'access', 'this', 'app', '.', 'i', 'have', 'checked', 'and', 'rechecked', 'my', 'phone', 'which', 'is', 'working', 'perfectly', '.', ""i'm"", 'able', 'to', 'access', 'every', 'other', 'app', '.', 'i', 'have', 'uninstalled', 'and', 'reinstalled', 'the', 'app', ',', 'nothing', 'changes', '.', 'yesterday', 'the', 'app', 'informed', 'me', 'that', 'christmas', 'shopping', 'days', 'will', 'soon', 'be', 'announced', '.', 'sadly', ',', 'the', 'time', 'is', 'coming', 'to', 'change', 'supermarket', 'which', 'is', 'a', 'shame', 'as', 'the', 'delivery', 'drivers', 'are', 'always', 'very', 'polite', ',', 'friendly', 'and', 'helpful', '.']",70,2022-03-27,07:23:35,neg,pos,neg,1,neg,"['once', 'again', 'unable', 'to', 'access', 'this', 'app', '.', 'i', 'have', 'check', 'and', 'rechecked', 'my', 'phone', 'which', 'be', 'work', 'perfectly', '.', ""i'm"", 'able', 'to', 'access', 'every', 'other', 'app', '.', 'i', 'have', 'uninstalled', 'and', 'reinstall', 'the', 'app', ',', 'nothing', 'change', '.', 'yesterday', 'the', 'app', 'inform', 'me', 'that', 'christmas', 'shop', 'day', 'will', 'soon', 'be', 'announce', '.', 'sadly', ',', 'the', 'time', 'be', 'come', 'to', 'change', 'supermarket', 'which', 'be', 'a', 'shame', 'as', 'the', 'delivery', 'driver', 'be', 'always', 'very', 'polite', ',', 'friendly', 'and', 'helpful', '.']",2022,3,27
