reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId,reviews_in_sents,sentence_count,reviews_in_words,word_count,ymd,time,label,vader_label,textblob_label,bert_score,bert_label,reviews_lemmatized
gp:AOqpTOHoLYWCleX8HM-fJST-nS6_Q7nRCKgUfcXviZWMUXRFwUnTKZyTK2G2sn_Dr4IkNKo20RRkaEDSi6i0fA,Joyce Jamieson,https://play-lh.googleusercontent.com/a/AATXAJyWof_r9HDLnmnTFN65i0LuQLbIs0BwSVHs0aOc=mo,Found this confusing and difficult,1,0,19.29.0,2022-03-31 16:48:34,,,newest,com.tesco.grocery.view,['Found this confusing and difficult'],1,"['found', 'this', 'confusing', 'and', 'difficult']",5,2022-03-31,16:48:34,neg,neg,neg,2,neg,"['find', 'this', 'confusing', 'and', 'difficult']"
gp:AOqpTOEALmLSsWoRa5iIEtmENfRtPkvS3O-W7NvitLWQp1NIVCvlW3Xm_ITSrScMGjqxIat4zEL4CiQjOBkTHQ,Alistair Charles,https://play-lh.googleusercontent.com/a/AATXAJxME1njvxet2V3cS6H_2OpAnW14cSRmOEQsQUY4=mo,Rubbish app. Forgets changes to orders.,1,0,19.29.0,2022-03-30 21:37:56,,,newest,com.tesco.grocery.view,"['Rubbish app.', 'Forgets changes to orders.']",2,"['rubbish', 'app', '.', 'forgets', 'changes', 'to', 'orders', '.']",6,2022-03-30,21:37:56,neg,neu,neu,1,neg,"['rubbish', 'app', '.', 'forgets', 'change', 'to', 'order', '.']"
gp:AOqpTOGosMLyacp8xUArioSjY5_628L0xxBJ3BmgTtCuvWwqvN1VhkxOiQ6LrOWeuHZT_xMdOPc5th7CL7AY8A,John Hirst,https://play-lh.googleusercontent.com/a/AATXAJxKXn8TrUhIPUVPMBbOr1wwjc5NJpNQ6GLbAIVs=mo,"Rubbish, constantly asking to resign in",1,0,19.29.0,2022-03-30 17:31:00,,,newest,com.tesco.grocery.view,"['Rubbish, constantly asking to resign in']",1,"['rubbish', ',', 'constantly', 'asking', 'to', 'resign', 'in']",6,2022-03-30,17:31:00,neg,neg,neu,1,neg,"['rubbish', ',', 'constantly', 'ask', 'to', 'resign', 'in']"
gp:AOqpTOFAsHuUFqWOKGGtNzL4nKetpiN7Ofa9Bjlg8qw_i_Bxa_48i_Dv89Df54SSYfUN08L_vdRfnZl_66SXVQ,Rula Sotiri,https://play-lh.googleusercontent.com/a/AATXAJyLKIaEQqn2-wMuLEwHqL-ylPP1KYaD-BY5_p12=mo,Terrible,1,0,19.13.0,2022-03-30 10:31:25,,,newest,com.tesco.grocery.view,['Terrible'],1,['terrible'],1,2022-03-30,10:31:25,neg,neg,neg,1,neg,['terrible']
gp:AOqpTOGsEOuB5kASf1CwHBp8-DfEzUIjwppVtIJJL9ezh8TtP3muUlf8BxtObcbV2Fwxl68tmjcjFJ4XTqPX1A,Hey Boo,https://play-lh.googleusercontent.com/a/AATXAJyvhXNbjqwMHMIO-NTO6u5FHYu4U-YmwZdUWhwB=mo,"Got to be a better way to do it, I search for cigarettes and get a load of other products that also come in 20s",1,0,19.29.0,2022-03-30 08:11:54,,,newest,com.tesco.grocery.view,"['Got to be a better way to do it, I search for cigarettes and get a load of other products that also come in 20s']",1,"['got', 'to', 'be', 'a', 'better', 'way', 'to', 'do', 'it', ',', 'i', 'search', 'for', 'cigarettes', 'and', 'get', 'a', 'load', 'of', 'other', 'products', 'that', 'also', 'come', 'in', '20s']",25,2022-03-30,08:11:54,neg,pos,pos,2,neg,"['get', 'to', 'be', 'a', 'good', 'way', 'to', 'do', 'it', ',', 'i', 'search', 'for', 'cigarette', 'and', 'get', 'a', 'load', 'of', 'other', 'product', 'that', 'also', 'come', 'in', '20s']"
gp:AOqpTOHbEWaEPaarmEliv8pp21O7EmHJ618AM_Etw9bpVUpMyxsb7EmKV-E95Ce3gxdLBlV4u069MuQ2_aLccQ,Stephen Wren,https://play-lh.googleusercontent.com/a-/AOh14GjSAf_Gu9u9eB1_hzs5d5B0mHfGfrFxMV8KK7Akfw,"Negative stars! World's most annoying app. Endless nagging for reviews. GRRR, this app gets worse and worse! So many stages now to checkout your shopping STOP NAGGING ME TO RATE THIS APP! So annoying! Constant annoying prompts to rate the app, even after reviewing the annoying prompts still ask for a rating! This really spoils the app. Would change supermarket as a result if we weren't subscribed to a delivery plan.",1,4,19.29.0,2022-03-29 22:11:17,,,newest,com.tesco.grocery.view,"['Negative stars!', ""World's most annoying app."", 'Endless nagging for reviews.', 'GRRR, this app gets worse and worse!', 'So many stages now to checkout your shopping STOP NAGGING ME TO RATE THIS APP!', 'So annoying!', 'Constant annoying prompts to rate the app, even after reviewing the annoying prompts still ask for a rating!', 'This really spoils the app.', ""Would change supermarket as a result if we weren't subscribed to a delivery plan.""]",9,"['negative', 'stars', '!', ""world's"", 'most', 'annoying', 'app', '.', 'endless', 'nagging', 'for', 'reviews', '.', 'grrr', ',', 'this', 'app', 'gets', 'worse', 'and', 'worse', '!', 'so', 'many', 'stages', 'now', 'to', 'checkout', 'your', 'shopping', 'stop', 'nagging', 'me', 'to', 'rate', 'this', 'app', '!', 'so', 'annoying', '!', 'constant', 'annoying', 'prompts', 'to', 'rate', 'the', 'app', ',', 'even', 'after', 'reviewing', 'the', 'annoying', 'prompts', 'still', 'ask', 'for', 'a', 'rating', '!', 'this', 'really', 'spoils', 'the', 'app', '.', 'would', 'change', 'supermarket', 'as', 'a', 'result', 'if', 'we', ""weren't"", 'subscribed', 'to', 'a', 'delivery', 'plan', '.']",71,2022-03-29,22:11:17,neg,neg,neg,1,neg,"['negative', 'star', '!', ""world's"", 'most', 'annoying', 'app', '.', 'endless', 'nag', 'for', 'review', '.', 'grrr', ',', 'this', 'app', 'get', 'bad', 'and', 'bad', '!', 'so', 'many', 'stage', 'now', 'to', 'checkout', 'your', 'shop', 'stop', 'nag', 'me', 'to', 'rate', 'this', 'app', '!', 'so', 'annoy', '!', 'constant', 'annoy', 'prompt', 'to', 'rate', 'the', 'app', ',', 'even', 'after', 'review', 'the', 'annoying', 'prompt', 'still', 'ask', 'for', 'a', 'rating', '!', 'this', 'really', 'spoil', 'the', 'app', '.', 'would', 'change', 'supermarket', 'as', 'a', 'result', 'if', 'we', ""weren't"", 'subscribe', 'to', 'a', 'delivery', 'plan', '.']"
gp:AOqpTOGwhcJz10XyegVEbOmAGmWV4iqOxag1e2VU3xwRk8N8Ug0NQQxEIgasROsW2nr3Xa4sEyx2iOihQ9CbiQ,Paul Bayram,https://play-lh.googleusercontent.com/a-/AOh14GjBed-IrUbLHmphfJ-7LjtVX4X5LsPdExuBuKhJVg,Took the ability to check local stock away. Was good to use to see if they had certain games instock,1,0,19.29.0,2022-03-29 19:23:59,,,newest,com.tesco.grocery.view,"['Took the ability to check local stock away.', 'Was good to use to see if they had certain games instock']",2,"['took', 'the', 'ability', 'to', 'check', 'local', 'stock', 'away', '.', 'was', 'good', 'to', 'use', 'to', 'see', 'if', 'they', 'had', 'certain', 'games', 'instock']",20,2022-03-29,19:23:59,neg,pos,pos,4,pos,"['take', 'the', 'ability', 'to', 'check', 'local', 'stock', 'away', '.', 'be', 'good', 'to', 'use', 'to', 'see', 'if', 'they', 'have', 'certain', 'game', 'instock']"
gp:AOqpTOFmsjych_mYYwbdmU2c8L8v-mdJZ__04o9w5L6B7e1qiNciJgfEJ2Y1NtInQ0rBAOb4mn1NKAWHJDHq4w,Gordon Rattray,https://play-lh.googleusercontent.com/a/AATXAJyKhdAZveaeIhiSieleE2rLiknk2hDW9h3zWj7e=mo,Terrible search engine you have to be so specific in what you search for or end up searching through 60 items that are nothing to do with what you wanted,1,0,19.29.0,2022-03-29 14:41:31,,,newest,com.tesco.grocery.view,['Terrible search engine you have to be so specific in what you search for or end up searching through 60 items that are nothing to do with what you wanted'],1,"['terrible', 'search', 'engine', 'you', 'have', 'to', 'be', 'so', 'specific', 'in', 'what', 'you', 'search', 'for', 'or', 'end', 'up', 'searching', 'through', '60', 'items', 'that', 'are', 'nothing', 'to', 'do', 'with', 'what', 'you', 'wanted']",30,2022-03-29,14:41:31,neg,neg,neg,1,neg,"['terrible', 'search', 'engine', 'you', 'have', 'to', 'be', 'so', 'specific', 'in', 'what', 'you', 'search', 'for', 'or', 'end', 'up', 'search', 'through', '60', 'item', 'that', 'be', 'nothing', 'to', 'do', 'with', 'what', 'you', 'want']"
gp:AOqpTOHsa8IZcVX-aQvTDB-tHN64cj981MckTlCJtzQ2ZxyQ8EiIxA5NotqsWv9X4YUYVTHZuJRPBmP6cExBuA,Sarah C,https://play-lh.googleusercontent.com/a-/AOh14Gil35I7ZGrU2KysCkvh70dwn1ajbhaxjEKyLw2KJ6o,Cancellation every week now. I've been going hungry because Tesco just can't be bothered to deliver anymore. I've been using it since 2015 with generally few problems but suddenly everything went downhill. I am tired of starving because of Tesco. I'm looking for a different delivery service.,1,0,19.29.0,2022-03-28 23:47:03,,,newest,com.tesco.grocery.view,"['Cancellation every week now.', ""I've been going hungry because Tesco just can't be bothered to deliver anymore."", ""I've been using it since 2015 with generally few problems but suddenly everything went downhill."", 'I am tired of starving because of Tesco.', ""I'm looking for a different delivery service.""]",5,"['cancellation', 'every', 'week', 'now', '.', ""i've"", 'been', 'going', 'hungry', 'because', 'tesco', 'just', ""can't"", 'be', 'bothered', 'to', 'deliver', 'anymore', '.', ""i've"", 'been', 'using', 'it', 'since', '2015', 'with', 'generally', 'few', 'problems', 'but', 'suddenly', 'everything', 'went', 'downhill', '.', 'i', 'am', 'tired', 'of', 'starving', 'because', 'of', 'tesco', '.', ""i'm"", 'looking', 'for', 'a', 'different', 'delivery', 'service', '.']",47,2022-03-28,23:47:03,neg,neg,neg,1,neg,"['cancellation', 'every', 'week', 'now', '.', ""i've"", 'be', 'go', 'hungry', 'because', 'tesco', 'just', ""can't"", 'be', 'bother', 'to', 'deliver', 'anymore', '.', ""i've"", 'be', 'use', 'it', 'since', '2015', 'with', 'generally', 'few', 'problem', 'but', 'suddenly', 'everything', 'go', 'downhill', '.', 'i', 'be', 'tire', 'of', 'starve', 'because', 'of', 'tesco', '.', ""i'm"", 'look', 'for', 'a', 'different', 'delivery', 'service', '.']"
gp:AOqpTOGG0MmSJZ1BLJ45uggzCxFNZG9VsjoRR3ZQP0MPs3G_gtKUYNVxADBmZQiOPiJGGdofLV9qpzX7G_gEfw,Joanne McLeod,https://play-lh.googleusercontent.com/a/AATXAJwwT57xWowEWPTmUM5Pekpqa93geZVvbs7-zUwQ=mo,This is ridiculous 135 items for a family of 5 to do a monthly shop Shall be going to Asda from now on,1,0,19.29.0,2022-03-28 20:09:04,,,newest,com.tesco.grocery.view,['This is ridiculous 135 items for a family of 5 to do a monthly shop Shall be going to Asda from now on'],1,"['this', 'is', 'ridiculous', '135', 'items', 'for', 'a', 'family', 'of', '5', 'to', 'do', 'a', 'monthly', 'shop', 'shall', 'be', 'going', 'to', 'asda', 'from', 'now', 'on']",22,2022-03-28,20:09:04,neg,neg,neg,1,neg,"['this', 'be', 'ridiculous', '135', 'item', 'for', 'a', 'family', 'of', '5', 'to', 'do', 'a', 'monthly', 'shop', 'shall', 'be', 'go', 'to', 'asda', 'from', 'now', 'on']"
