reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId,reviews_in_sents,sentence_count,reviews_in_words,word_count,ymd,time,label,vader_label,textblob_label,bert_score,bert_label,reviews_lemmatized
gp:AOqpTOHVHyLJT92ZW-wgKtB7sgauJlPksojrFYEr_y8QHDDJgcxlr2oLWTDImsmugTzysQXj5yoWkZY6W1MWgA,Jenny Davies,https://play-lh.googleusercontent.com/a/AATXAJwG9elKDWIOltKvXZhK0fwVmrbCDqUoImfHaMRC=mo,Useless,1,0,2.7.3.2448,2022-03-31 13:41:59,,,newest,com.waitrose.groceries,['Useless'],1,['useless'],1,2022-03-31,13:41:59,neg,neg,neg,1,neg,['useless']
gp:AOqpTOFOjNlB9foINrakA8n0IZypEALhUNjluf780hNjHUk7NWXHMAdvp_yBP6ZnLAzvvLihAGbDeB4HVJDzcw,Virginia Jones,https://play-lh.googleusercontent.com/a-/AOh14GjVOG9gSDxQgZ0PNF24wDhhFz1cv0wlhGUL0DOOiQ,Pretty useless as when you get in the store there's no internet connection so all your offers vanish when you get to the till ... the offers are pretty rubbish too!,1,0,2.7.3.2448,2022-03-31 07:40:39,,,newest,com.waitrose.groceries,"[""Pretty useless as when you get in the store there's no internet connection so all your offers vanish when you get to the till ... the offers are pretty rubbish too!""]",1,"['pretty', 'useless', 'as', 'when', 'you', 'get', 'in', 'the', 'store', ""there's"", 'no', 'internet', 'connection', 'so', 'all', 'your', 'offers', 'vanish', 'when', 'you', 'get', 'to', 'the', 'till', '...', 'the', 'offers', 'are', 'pretty', 'rubbish', 'too', '!']",31,2022-03-31,07:40:39,neg,pos,pos,1,neg,"['pretty', 'useless', 'as', 'when', 'you', 'get', 'in', 'the', 'store', ""there's"", 'no', 'internet', 'connection', 'so', 'all', 'your', 'offer', 'vanish', 'when', 'you', 'get', 'to', 'the', 'till', '...', 'the', 'offer', 'be', 'pretty', 'rubbish', 'too', '!']"
gp:AOqpTOFR_yAed-rkpROuSARv3voQdCGRpqepI5DeOv-oKT7LxlXBGQSKBAHRc_xPhfYCtno22qiCUBXKGqmBDg,ear wig,https://play-lh.googleusercontent.com/a/AATXAJxhgSgmJFUOJoL_bij2UgDL-WlrIw3g11drYUEn=mo,"forced update to an app version that doesn't work. signs in, but won't show favourites, repeatedly claims I'm offline (when I'm not), and closes. shame that the app has gotten worse with update not better. I guess I won't be shopping at Waitrose then.",1,0,2.7.3.2448,2022-03-30 20:25:46,,,newest,com.waitrose.groceries,"[""forced update to an app version that doesn't work."", ""signs in, but won't show favourites, repeatedly claims I'm offline (when I'm not), and closes."", 'shame that the app has gotten worse with update not better.', ""I guess I won't be shopping at Waitrose then.""]",4,"['forced', 'update', 'to', 'an', 'app', 'version', 'that', ""doesn't"", 'work', '.', 'signs', 'in', ',', 'but', ""won't"", 'show', 'favourites', ',', 'repeatedly', 'claims', ""i'm"", 'offline', '(', 'when', ""i'm"", 'not', ')', ',', 'and', 'closes', '.', 'shame', 'that', 'the', 'app', 'has', 'gotten', 'worse', 'with', 'update', 'not', 'better', '.', 'i', 'guess', 'i', ""won't"", 'be', 'shopping', 'at', 'waitrose', 'then', '.']",44,2022-03-30,20:25:46,neg,neg,neg,1,neg,"['force', 'update', 'to', 'an', 'app', 'version', 'that', ""doesn't"", 'work', '.', 'sign', 'in', ',', 'but', ""won't"", 'show', 'favourite', ',', 'repeatedly', 'claim', ""i'm"", 'offline', '(', 'when', ""i'm"", 'not', ')', ',', 'and', 'close', '.', 'shame', 'that', 'the', 'app', 'have', 'get', 'worse', 'with', 'update', 'not', 'well', '.', 'i', 'guess', 'i', ""won't"", 'be', 'shop', 'at', 'waitrose', 'then', '.']"
gp:AOqpTOHFa4nD9biWeLLCRkRPNyjA7KIijmZga5lOCtFKra-3jDMT3HGKE5hwrCP9PXx0vm-UduUMgmbl7vl2TA,Chester Ashton,https://play-lh.googleusercontent.com/a/AATXAJwGT7HwTjryjL9dIMP7xs_10k_FlsvwZn5mRL9I=mo,Not very user friendly,1,0,2.7.3.2448,2022-03-30 15:37:29,,,newest,com.waitrose.groceries,['Not very user friendly'],1,"['not', 'very', 'user', 'friendly']",4,2022-03-30,15:37:29,neg,neg,pos,2,neg,"['not', 'very', 'user', 'friendly']"
gp:AOqpTOF4EnlG94oJ9l7eK32jtPgSSvL1w9-UaHk4On-TZGAHs2kcRKPEsx3WoROuhv6xJOUy0QbcCTncC0eZjQ,Lens Man,https://play-lh.googleusercontent.com/a/AATXAJwZL8JQBO7ZzvIwAtafcwX9E9UlhUUHEt2IwWD2=mo,Nothing but aggravation,1,0,2.7.3.2448,2022-03-30 14:13:41,,,newest,com.waitrose.groceries,['Nothing but aggravation'],1,"['nothing', 'but', 'aggravation']",3,2022-03-30,14:13:41,neg,neu,neu,3,neu,"['nothing', 'but', 'aggravation']"
gp:AOqpTOGyH2aWXanOtsVcRh0pqChZK1bN8vtlXnx5WHbutdTL2cdyOnsf7kTBIYvxcPZ4_mN6m0E67LH34GUOcg,Mussarat Majid,https://play-lh.googleusercontent.com/a-/AOh14GimOCNAvrzFffX-Sr045_GGMtHzwUjWeqscgzlHlQ,Terrible app,1,0,2.7.3.2448,2022-03-30 12:44:21,,,newest,com.waitrose.groceries,['Terrible app'],1,"['terrible', 'app']",2,2022-03-30,12:44:21,neg,neg,neg,1,neg,"['terrible', 'app']"
gp:AOqpTOEgcDHoxB8hpS4U_du_vLVz2VWHQ97kBvyUbWZ-hge5B-NxG8qzqwVP-GEymBc40VXN8NktnuXCkLYAmQ,Hayley Brock,https://play-lh.googleusercontent.com/a/AATXAJxgsl0CNVW4BXX2wWe3quNMkEybahKL67zmISAL=mo,No good if the Waitrose you shop in has a terrible wifi connection! Useless,1,0,2.7.3.2448,2022-03-29 22:20:09,,,newest,com.waitrose.groceries,"['No good if the Waitrose you shop in has a terrible wifi connection!', 'Useless']",2,"['no', 'good', 'if', 'the', 'waitrose', 'you', 'shop', 'in', 'has', 'a', 'terrible', 'wifi', 'connection', '!', 'useless']",14,2022-03-29,22:20:09,neg,neg,neg,1,neg,"['no', 'good', 'if', 'the', 'waitrose', 'you', 'shop', 'in', 'have', 'a', 'terrible', 'wifi', 'connection', '!', 'useless']"
gp:AOqpTOE79cMAKvxgYePn7txh_0BSuZHp9xWchDsQYU2_c2L85t-61SeJBVNPIJrYPvfbNH-5kyWTjqCzNPayog,NeueGeek ProAdam,https://play-lh.googleusercontent.com/a/AATXAJyJmh1EkRqmEFAm_OXO-9ZrbtnHSj0uUaeLIM13=mo,"Each time l loge in l have to reset my password as ""not recognised""! Funny l set the same password each time! And It's happening for two years!! I Even upgraded my phone! More funny each time l log in to place my order, l regret an leave for other shopps!",1,2,2.7.3.2448,2022-03-29 20:46:45,,,newest,com.waitrose.groceries,"['Each time l loge in l have to reset my password as ""not recognised""!', 'Funny l set the same password each time!', ""And It's happening for two years!!"", 'I Even upgraded my phone!', 'More funny each time l log in to place my order, l regret an leave for other shopps!']",5,"['each', 'time', 'l', 'loge', 'in', 'l', 'have', 'to', 'reset', 'my', 'password', 'as', '""', 'not', 'recognised', '""', '!', 'funny', 'l', 'set', 'the', 'same', 'password', 'each', 'time', '!', 'and', ""it's"", 'happening', 'for', 'two', 'years', '!', '!', 'i', 'even', 'upgraded', 'my', 'phone', '!', 'more', 'funny', 'each', 'time', 'l', 'log', 'in', 'to', 'place', 'my', 'order', ',', 'l', 'regret', 'an', 'leave', 'for', 'other', 'shopps', '!']",51,2022-03-29,20:46:45,neg,pos,pos,5,pos,"['each', 'time', 'l', 'loge', 'in', 'l', 'have', 'to', 'reset', 'my', 'password', 'as', '""', 'not', 'recognise', '""', '!', 'funny', 'l', 'set', 'the', 'same', 'password', 'each', 'time', '!', 'and', ""it's"", 'happen', 'for', 'two', 'year', '!', '!', 'i', 'even', 'upgraded', 'my', 'phone', '!', 'more', 'funny', 'each', 'time', 'l', 'log', 'in', 'to', 'place', 'my', 'order', ',', 'l', 'regret', 'an', 'leave', 'for', 'other', 'shopps', '!']"
gp:AOqpTOGknlS9D1mgeoiTUtUK8sM-dNXyD7dQUnzWPUy2R8j2Yb5N9Icfa2DuKx3H-ddoQwB_QAo0eWnlubA3fA,Michael Benardout,https://play-lh.googleusercontent.com/a/AATXAJxelkxMl5XSxHSoXE-0A4KzjnhGPkbqsNbeo2M8=mo,Useless app. Waste of time,1,0,2.7.3.2448,2022-03-29 15:08:23,,,newest,com.waitrose.groceries,"['Useless app.', 'Waste of time']",2,"['useless', 'app', '.', 'waste', 'of', 'time']",5,2022-03-29,15:08:23,neg,neg,neg,1,neg,"['useless', 'app', '.', 'waste', 'of', 'time']"
gp:AOqpTOGDiJYYIIRWCjfhaLAlxDa-69KgodeniiJxJNjOcAqQCpiYOmGARFNwXHK1vRgoEsW90ZpOr5dDoL2uCA,John Barwick,https://play-lh.googleusercontent.com/a/AATXAJwEC6lS-UXZF3fCCqJtre4JlCr-DJ2UTmbJGAHS=mo,It is very frustrating. It has given me a new number which I know not off. My card I have as offers l cannot access.,1,0,2.7.3.2448,2022-03-29 11:33:08,,,newest,com.waitrose.groceries,"['It is very frustrating.', 'It has given me a new number which I know not off.', 'My card I have as offers l cannot access.']",3,"['it', 'is', 'very', 'frustrating', '.', 'it', 'has', 'given', 'me', 'a', 'new', 'number', 'which', 'i', 'know', 'not', 'off', '.', 'my', 'card', 'i', 'have', 'as', 'offers', 'l', 'cannot', 'access', '.']",25,2022-03-29,11:33:08,neg,neg,neg,1,neg,"['it', 'be', 'very', 'frustrating', '.', 'it', 'have', 'give', 'me', 'a', 'new', 'number', 'which', 'i', 'know', 'not', 'off', '.', 'my', 'card', 'i', 'have', 'as', 'offer', 'l', 'cannot', 'access', '.']"
